original_link_id,bus_priority_link_id,original_modes,bus_priority_modes,original_capacity,bus_priority_capacity,original_permlanes,bus_priority_permlanes
l_10073_0_f,busprio_l_10073_0_f,"car,pt",pt,1500.0,3600.0,1.0,1.0
l_10074_0_f,busprio_l_10074_0_f,"car,pt",pt,1500.0,3600.0,1.0,1.0
l_10075_0_f,busprio_l_10075_0_f,"car,pt",pt,1500.0,3600.0,1.0,1.0
l_10076_0_f,busprio_l_10076_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10077_0_f,busprio_l_10077_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10078_0_f,busprio_l_10078_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_0_f,busprio_l_10079_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_0_r,busprio_l_10079_0_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_1_f,busprio_l_10079_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_1_r,busprio_l_10079_1_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_2_f,busprio_l_10079_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_2_r,busprio_l_10079_2_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_3_f,busprio_l_10079_3_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_3_r,busprio_l_10079_3_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_4_f,busprio_l_10079_4_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_4_r,busprio_l_10079_4_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_5_f,busprio_l_10079_5_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10079_5_r,busprio_l_10079_5_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10080_0_f,busprio_l_10080_0_f,"car,pt",pt,6000.0,6000.0,4.0,4.0
l_10080_1_f,busprio_l_10080_1_f,"car,pt",pt,6000.0,6000.0,4.0,4.0
l_10081_0_f,busprio_l_10081_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10081_0_r,busprio_l_10081_0_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10081_1_f,busprio_l_10081_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10081_1_r,busprio_l_10081_1_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10081_2_f,busprio_l_10081_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10081_2_r,busprio_l_10081_2_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10084_0_f,busprio_l_10084_0_f,"car,pt",pt,1500.0,3600.0,1.0,1.0
l_10084_0_r,busprio_l_10084_0_r,"car,pt",pt,1500.0,3600.0,1.0,1.0
l_10085_0_f,busprio_l_10085_0_f,"car,pt",pt,1500.0,3600.0,1.0,1.0
l_10085_0_r,busprio_l_10085_0_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10086_0_f,busprio_l_10086_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10086_0_r,busprio_l_10086_0_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10086_1_f,busprio_l_10086_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10086_1_r,busprio_l_10086_1_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10087_0_f,busprio_l_10087_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10087_0_r,busprio_l_10087_0_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10088_0_f,busprio_l_10088_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10088_1_f,busprio_l_10088_1_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10089_0_f,busprio_l_10089_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_1008_0_f,busprio_l_1008_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10090_0_f,busprio_l_10090_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10091_0_f,busprio_l_10091_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10091_1_f,busprio_l_10091_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10092_0_f,busprio_l_10092_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10092_1_f,busprio_l_10092_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10093_0_f,busprio_l_10093_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10094_0_f,busprio_l_10094_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10094_1_f,busprio_l_10094_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10095_0_f,busprio_l_10095_0_f,"car,pt",pt,1500.0,3600.0,1.0,1.0
l_10096_0_f,busprio_l_10096_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10096_1_f,busprio_l_10096_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10097_0_f,busprio_l_10097_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10098_0_f,busprio_l_10098_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
