merged_stop_id,source_ids,source_id_count,name,normalized_name,source_types,line_ids,merge_member_count,merge_method,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_2km_buffer,raw_record_count,mode,coord_source
amap_stop_00517,BV10208433,1,茶亭公园(公交站),茶亭公园,lineid_busstop;poi,350100010005;350100010008;350100010015;350100010016;350100010053;350100010060;350100010145;350100010146;350100010293;350100010294;350100010325;900000025642,1,same_id,119.30777,26.065977,119.30295190121925,26.069054729252365,730377.48240152,2885366.606235318,True,True,13,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00518,BV10208434,1,安淡(公交站),安淡,lineid_busstop;poi,350100010015;350100010016;350100010018;350100010031;350100010032;350100010061;350100010062;350100010095;350100010096;350100010101;350100010102;350100010127;350100010128;350100010165;350100010166;350100010175;350100010176;350100010262;350100010318;350100010319;350100010320;350100010321;350100010329;350100010330;350100010345;350100010346;350100010347;350100010348;350100010352;350100010353;350100010376;350100010379;350100010407;350100010408;350100010492;350100010494;350100010624;350100010625;900000125708;900000125709,1,same_id,119.309489,26.063701,119.3046679781673,26.06677417264124,730553.677519141,2885116.956384604,True,True,41,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00519,BV10208435,1,打铁垱(公交站),打铁垱,lineid_busstop;poi,350100010015;350100010016;350100010031;350100010032;350100010049;350100010050;350100010062;350100010065;350100010066;350100010067;350100010068;350100010127;350100010141;350100010142;350100010153;350100010154;350100010270;350100010271;350100010329;350100010330,1,same_id,119.313405,26.061939,119.30857690950674,26.065003931239268,730948.3232583429,2884927.7368359086,True,True,21,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00520,BV10208436,1,华林高架(公交站),华林高架,lineid_busstop;poi,350100010005;350100010008;350100010035;350100010036;350100010041;350100010042;350100010043;350100010044;350100010046;350100010073;350100010074;350100010097;350100010098;350100010111;350100010139;350100010140;350100010216;350100010221;350100010270;350100010278;350100010279;350100010304;350100010322;350100010323;350100010380;350100010522;350100010523;900000077426;900000077427;900000112868;900000200434;900000200435;900000205225;900000205226,1,same_id,119.316696,26.10607,119.31185839494871,26.109158068328867,731189.8578440817,2889825.8672540165,True,True,35,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00521,BV10208437,1,朝阳路口(公交站),朝阳路口,lineid_busstop;poi,350100010005;350100010008;350100010090;350100010337;350100010338;350100010503;350100010509;350100010779;350100010780;900000062588;900000062593;900000163807;900000163808,1,same_id,119.323256,26.046698,119.31841029319108,26.04973425593382,731962.4682177001,2883253.3156053354,True,True,14,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00522,BV10208438,1,朝阳路(公交站),朝阳路,lineid_busstop;poi,350100010008;350100010337;350100010338;350100010509;900000062588;900000062593;900000163807;900000163808,1,same_id,119.327229,26.044847,119.3223757389404,26.047874428570253,732363.0248079469,2883054.3079255912,True,True,9,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00523,BV10208439,1,过洲岛(公交站),过洲岛,lineid_busstop;poi,350100010005;350100010008;350100010337;350100010338;350100010503;350100010509;900000029241;900000029242;900000163807;900000163808,1,same_id,119.338607,26.046843,119.33373178786334,26.049850179714834,733495.713089626,2883293.514865402,True,True,11,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00524,BV10208441,1,东部办公区(公交站),东部办公区,lineid_busstop;poi,350100010083;350100010084;350100010372;350100010374;350100010439;350100010440;350100010509;900000062593;900000080691;900000080692;900000080693;900000080723;900000081546;900000081547;900000098953;900000098954;900000100320;900000100321;900000104136;900000104187;900000104375;900000126889;900000139138;900000139139;900000145013;900000146201;900000146207;900000146209;900000146212;900000146272;900000149278;900000149468;900000149554;900000149864;900000161271;900000161600;900000163807;900000163808;900000194318;900000194319;900000198627;900000199967;900000205225;900000205226;900000222159;900000222160;900000254108;900000254110;900000254111;900000254114;900000254115;900000254117;900000254118;900000254119;900000254120;900000254122;900000255347,1,same_id,119.350674,26.04073,119.34577763861752,26.043711343387905,734713.5813833079,2882634.9538875413,True,True,58,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00525,BV10208443,1,港头(朝阳路)(公交站),港头(朝阳路),lineid_busstop;poi,350100010005;350100010008;350100010089;350100010090;350100010337;350100010338;350100010503;350100010509;350100010779;350100010780;900000062588;900000062593;900000163807;900000163808,1,same_id,119.328456,26.04468,119.32360037452442,26.047704970775463,732485.9306247539,2883037.715303169,True,True,15,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00526,BV10208444,1,中垱(公交站),中垱,lineid_busstop;poi,350100010005;350100010008;350100010337;350100010338;350100010503;350100010509;350100010779;350100010780;900000062588;900000062593;900000163807;900000163808,1,same_id,119.332166,26.044918,119.32730319046436,26.047936049057064,732856.0818635719,2883069.927815775,True,True,13,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00527,BV10208445,1,外贸中心酒店(公交站),外贸中心酒店,lineid_busstop;poi,350100010008;350100010013;350100010021;350100010044;350100010046;350100010066;350100010067;350100010118;350100010140;350100010205;350100010246;350100010270;350100010289;900000049876,1,same_id,119.306692,26.09211,119.30187385251573,26.095206960659656,730218.3924156497,2888262.371450138,True,True,15,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00528,BV10208446,1,闽运汽车北站(公交站),闽运汽车北站,lineid_busstop;poi,350100010005;350100010008;350100010013;350100010023;350100010035;350100010036;350100010038;350100010041;350100010042;350100010043;350100010044;350100010046;350100010066;350100010073;350100010097;350100010098;350100010139;350100010140;350100010163;350100010164;350100010205;350100010216;350100010220;350100010231;350100010236;350100010270;350100010332;350100010380;350100010516;350100010517;350100010522;350100010622;350100010623;350100010738;350100010739;900000030076;900000030077;900000077426;900000077427;900000148759;900000148762;900000169563;900000169564;900000252750;900000252751,1,same_id,119.31845,26.108793,119.313608850852,26.11187956675364,731359.6033164101,2890130.5245287223,True,True,46,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00529,BV10208450,1,闽江局(公交站),闽江局,lineid_busstop;poi,350100010009;350100010010;350100010171;350100010172,1,same_id,119.353029,25.9909,119.3481325053604,25.99384348295247,735048.676934035,2877113.7571529383,True,True,5,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00530,BV10208451,1,杜园(公交站),杜园,lineid_busstop;poi,350100010009;350100010010;350100010171;350100010172,1,same_id,119.35186,25.994549,119.34696515456145,25.99749693559632,734924.512284904,2877516.463973599,True,True,5,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00531,BV10208453,1,黄山(公交站),黄山,lineid_busstop;poi,350100010009;350100010010;350100010035;350100010036;350100010051;350100010052;350100010238;350100010241;350100010245;350100010248;350100010312;350100010313;350100010325;350100010372;350100010374;350100010501;350100010502;350100010508;350100010510;900000025642;900000028085;900000028087;900000042667;900000042668;900000049348;900000049349;900000088182;900000088183;900000114300;900000114301;900000127824,1,same_id,119.349129,26.009588,119.34423762793452,26.012550869987955,734621.4609959563,2879179.5546433693,True,True,32,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
