scenario,origin_tcs_zone,destination_tcs_zone,selected_taxi_legs,selected_taxi_tours
high,6,1,109,109
high,6,2,94,94
high,6,3,129,129
high,6,4,59,59
high,6,5,446,446
high,6,6,309,249
high,6,7,197,197
high,6,8,144,144
high,6,9,106,106
high,6,10,80,80
high,6,11,72,72
high,6,12,73,73
high,6,13,41,41
high,6,14,18,18
high,6,15,15,15
high,6,16,8,8
high,6,17,36,36
high,6,18,36,36
high,6,19,133,133
high,6,20,35,35
high,6,21,42,42
high,6,22,22,22
high,6,23,10,10
high,6,24,14,14
high,6,25,5,5
high,6,26,124,124
high,7,1,132,132
high,7,2,103,103
high,7,3,105,105
high,7,4,68,68
high,7,5,562,562
high,7,6,515,515
high,7,7,370,276
high,7,8,132,132
high,7,9,142,142
high,7,10,111,111
high,7,11,71,71
high,7,12,81,81
high,7,13,43,43
high,7,14,57,57
high,7,15,17,17
high,7,16,9,9
high,7,17,25,25
high,7,18,11,11
high,7,19,123,123
high,7,20,25,25
high,7,21,61,61
high,7,22,6,6
high,7,23,10,10
high,7,24,10,10
high,7,25,6,6
high,7,26,108,108
high,8,1,115,115
high,8,2,153,153
high,8,3,139,139
high,8,4,52,52
high,8,5,309,309
high,8,6,122,122
high,8,7,195,195
high,8,8,247,167
high,8,9,123,123
high,8,10,84,84
high,8,11,47,47
high,8,12,42,42
high,8,13,26,26
high,8,14,19,19
high,8,15,7,7
high,8,16,5,5
high,8,17,32,32
high,8,18,7,7
high,8,19,89,89
high,8,20,17,17
high,8,21,64,64
high,8,22,3,3
high,8,23,4,4
high,8,24,7,7
high,8,25,5,5
high,8,26,9,9
high,9,1,92,92
high,9,2,135,135
high,9,3,202,202
high,9,4,44,44
high,9,5,235,235
high,9,6,99,99
high,9,7,158,158
high,9,8,148,148
high,9,9,452,320
high,9,10,107,107
high,9,11,45,45
high,9,12,29,29
high,9,13,14,14
high,9,14,13,13
high,9,15,5,5
high,9,16,1,1
high,9,17,36,36
high,9,18,13,13
high,9,19,97,97
high,9,20,34,34
high,9,21,149,149
high,9,22,4,4
high,9,23,4,4
high,9,24,2,2
high,9,25,8,8
high,9,26,12,12
high,10,1,53,53
high,10,2,81,81
high,10,3,77,77
high,10,4,31,31
high,10,5,184,184
high,10,6,62,62
high,10,7,134,134
high,10,8,99,99
high,10,9,98,98
high,10,10,139,105
high,10,11,37,37
high,10,12,24,24
high,10,13,12,12
high,10,14,8,8
high,10,15,12,12
high,10,16,1,1
high,10,17,32,32
high,10,18,4,4
high,10,19,88,88
high,10,20,24,24
high,10,21,49,49
high,10,22,1,1
high,10,23,2,2
high,10,24,4,4
high,10,25,11,11
high,10,26,2,2
high,11,1,59,59
high,11,2,48,48
high,11,3,38,38
high,11,4,17,17
high,11,5,178,178
high,11,6,39,39
high,11,7,120,120
high,11,8,36,36
high,11,9,47,47
high,11,10,31,31
high,11,11,202,133
high,11,12,91,91
high,11,13,55,55
high,11,14,39,39
high,11,15,31,31
high,11,16,15,15
high,11,17,31,31
high,11,18,15,15
high,11,19,85,85
high,11,20,17,17
high,11,21,24,24
high,11,22,9,9
high,11,23,15,15
high,11,24,16,16
high,11,26,16,16
high,12,1,38,38
high,12,2,46,46
high,12,3,46,46
high,12,4,19,19
high,12,5,103,103
high,12,6,42,42
high,12,7,111,111
high,12,8,37,37
high,12,9,26,26
high,12,10,38,38
high,12,11,102,102
high,12,12,92,63
high,12,13,24,24
high,12,14,20,20
high,12,15,18,18
high,12,16,10,10
high,12,17,19,19
high,12,18,14,14
high,12,19,49,49
high,12,20,16,16
high,12,21,19,19
high,12,22,6,6
high,12,23,9,9
high,12,24,10,10
high,12,25,1,1
high,12,26,3,3
high,13,1,31,31
high,13,2,24,24
high,13,3,18,18
high,13,4,8,8
high,13,5,57,57
high,13,6,33,33
high,13,7,59,59
high,13,8,20,20
high,13,9,18,18
high,13,10,18,18
high,13,11,61,61
high,13,12,26,26
high,13,13,25,16
high,13,14,17,17
high,13,15,13,13
high,13,16,7,7
high,13,17,15,15
high,13,18,4,4
high,13,19,16,16
high,13,20,1,1
high,13,21,2,2
high,13,22,6,6
high,13,23,4,4
high,13,24,3,3
high,13,25,2,2
high,13,26,4,4
high,14,1,27,27
high,14,2,8,8
high,14,3,16,16
high,14,4,13,13
high,14,5,79,79
high,14,6,11,11
high,14,7,67,67
high,14,8,17,17
high,14,9,12,12
high,14,10,6,6
high,14,11,38,38
high,14,12,27,27
high,14,13,24,24
high,14,14,490,285
high,14,15,71,71
high,14,16,66,66
high,14,17,17,17
high,14,18,14,14
high,14,19,14,14
high,14,20,8,8
high,14,21,4,4
high,14,22,35,35
high,14,23,71,71
high,14,24,5,5
high,14,26,7,7
high,15,1,10,10
high,15,2,5,5
high,15,3,8,8
high,15,4,8,8
high,15,5,70,70
high,15,6,8,8
high,15,7,25,25
high,15,8,11,11
high,15,9,6,6
high,15,10,11,11
high,15,11,29,29
high,15,12,15,15
high,15,13,10,10
high,15,14,73,73
high,15,15,125,80
high,15,16,60,60
high,15,17,19,19
high,15,18,24,24
high,15,19,20,20
high,15,20,10,10
high,15,21,5,5
high,15,22,10,10
high,15,23,95,95
high,15,24,11,11
high,15,25,1,1
high,15,26,1,1
high,16,1,5,5
high,16,2,7,7
high,16,3,4,4
high,16,4,3,3
high,16,5,31,31
high,16,6,3,3
high,16,7,12,12
high,16,8,7,7
high,16,9,3,3
high,16,10,1,1
high,16,11,18,18
high,16,12,11,11
high,16,13,8,8
high,16,14,60,60
high,16,15,56,56
high,16,16,170,105
high,16,17,7,7
high,16,18,14,14
high,16,19,12,12
high,16,20,3,3
high,16,21,2,2
high,16,22,8,8
high,16,23,55,55
high,16,24,4,4
high,16,25,1,1
high,16,26,5,5
high,17,1,21,21
high,17,2,15,15
high,17,3,16,16
high,17,4,4,4
high,17,5,22,22
high,17,6,55,55
high,17,7,50,50
high,17,8,29,29
high,17,9,37,37
high,17,10,35,35
high,17,11,26,26
high,17,12,18,18
high,17,13,14,14
high,17,14,18,18
high,17,15,15,15
high,17,16,11,11
high,17,17,158,91
high,17,18,52,52
high,17,19,66,66
high,17,20,42,42
high,17,21,16,16
high,17,23,41,41
high,17,24,43,43
high,17,25,2,2
high,17,26,3,3
high,18,1,8,8
high,18,2,4,4
high,18,3,5,5
high,18,4,6,6
high,18,5,18,18
high,18,6,37,37
high,18,7,38,38
high,18,8,6,6
high,18,9,13,13
high,18,10,5,5
high,18,11,20,20
high,18,12,13,13
high,18,13,4,4
high,18,14,8,8
high,18,15,29,29
high,18,16,13,13
high,18,17,57,57
high,18,18,120,66
high,18,19,21,21
high,18,20,13,13
high,18,21,4,4
high,18,22,2,2
high,18,23,32,32
high,18,24,26,26
high,18,25,1,1
high,18,26,3,3
high,19,1,52,52
high,19,2,79,79
high,19,3,84,84
high,19,4,25,25
high,19,5,137,137
high,19,6,100,100
high,19,7,172,172
high,19,8,90,90
high,19,9,99,99
high,19,10,104,104
high,19,11,71,71
high,19,12,53,53
high,19,13,22,22
high,19,14,12,12
high,19,15,22,22
high,19,16,12,12
high,19,17,67,67
high,19,18,21,21
high,19,19,385,245
high,19,20,44,44
high,19,21,73,73
high,19,22,3,3
high,19,23,19,19
high,19,24,20,20
high,19,25,16,16
high,19,26,6,6
high,20,1,10,10
high,20,2,17,17
high,20,3,21,21
high,20,4,5,5
high,20,5,36,36
high,20,6,40,40
high,20,7,42,42
high,20,8,16,16
high,20,9,34,34
high,20,10,22,22
high,20,11,14,14
high,20,12,14,14
high,20,13,2,2
high,20,14,6,6
high,20,15,12,12
high,20,16,1,1
high,20,17,45,45
high,20,18,13,13
high,20,19,55,55
high,20,20,63,39
high,20,21,24,24
high,20,23,12,12
high,20,24,13,13
high,20,25,5,5
high,21,1,48,48
high,21,2,93,93
high,21,3,128,128
high,21,4,37,37
high,21,5,109,109
high,21,6,39,39
high,21,7,54,54
high,21,8,55,55
high,21,9,165,165
high,21,10,53,53
high,21,11,22,22
high,21,12,14,14
high,21,13,7,7
high,21,14,6,6
high,21,15,9,9
high,21,16,1,1
high,21,17,12,12
high,21,18,6,6
high,21,19,72,72
high,21,20,21,21
high,21,21,225,158
high,21,22,3,3
high,21,23,3,3
high,21,24,2,2
high,21,25,13,13
high,21,26,2,2
high,22,1,12,12
high,22,2,3,3
high,22,3,3,3
high,22,4,4,4
high,22,5,17,17
high,22,6,18,18
high,22,7,14,14
high,22,8,11,11
high,22,9,4,4
high,22,10,5,5
high,22,11,9,9
high,22,12,7,7
high,22,13,7,7
high,22,14,30,30
high,22,15,9,9
high,22,16,5,5
high,22,18,3,3
high,22,19,2,2
high,22,21,1,1
high,22,22,96,64
high,22,23,9,9
high,22,24,3,3
high,22,26,3,3
high,23,1,34,34
high,23,2,35,35
high,23,3,18,18
high,23,4,19,19
high,23,5,78,78
high,23,6,25,25
high,23,7,21,21
high,23,8,22,22
high,23,9,13,13
high,23,10,13,13
high,23,11,14,14
high,23,12,13,13
high,23,13,9,9
high,23,14,66,66
high,23,15,78,78
high,23,16,35,35
high,23,17,13,13
high,23,18,29,29
high,23,19,24,24
high,23,20,6,6
high,23,21,9,9
high,23,22,10,10
high,23,23,68,44
high,23,24,4,4
high,23,25,3,3
high,23,26,10,10
high,24,1,21,21
high,24,2,30,30
high,24,3,13,13
high,24,4,12,12
high,24,5,59,59
high,24,6,39,39
high,24,7,24,24
high,24,8,25,25
high,24,9,10,10
high,24,10,16,16
high,24,11,20,20
high,24,12,14,14
high,24,13,4,4
high,24,14,14,14
high,24,15,12,12
high,24,16,9,9
high,24,17,47,47
high,24,18,32,32
high,24,19,22,22
high,24,20,19,19
high,24,21,7,7
high,24,22,4,4
high,24,23,6,6
high,24,24,24,16
high,24,25,6,6
high,24,26,11,11
high,25,1,3,3
high,25,2,6,6
high,25,3,9,9
high,25,4,2,2
high,25,5,42,42
high,25,6,13,13
high,25,7,17,17
high,25,8,5,5
high,25,9,12,12
high,25,10,7,7
high,25,11,2,2
high,25,12,3,3
high,25,13,2,2
high,25,14,2,2
high,25,16,2,2
high,25,17,1,1
high,25,18,1,1
high,25,19,10,10
high,25,20,4,4
high,25,21,12,12
high,25,25,2,2
high,26,-1,60,60
high,26,1,43,43
high,26,2,57,57
high,26,3,25,25
high,26,4,21,21
high,26,5,222,222
high,26,6,105,105
high,26,7,72,72
high,26,8,36,36
high,26,9,32,32
high,26,10,16,16
high,26,11,32,32
high,26,12,10,10
high,26,13,11,11
high,26,14,21,21
high,26,15,13,13
high,26,16,12,12
high,26,17,11,11
high,26,18,8,8
high,26,19,31,31
high,26,20,11,11
high,26,21,10,10
high,26,22,8,8
high,26,23,7,7
high,26,24,6,6
high,26,25,11,11
high,26,26,38,38
