"person_id","pt_no_transit_route_lines","pt_no_stop_lines"
"hk_collective_000299","1","1"
"hk_collective_000300","1","1"
"hk_collective_000301","1","1"
"hk_collective_000302","1","1"
"hk_collective_000303","1","1"
"hk_collective_000306","1","1"
"hk_collective_000307","1","1"
"hk_collective_000309","1","1"
"hk_collective_000310","1","1"
"hk_collective_000312","1","1"
"hk_collective_000313","1","1"
"hk_collective_000315","1","1"
"hk_collective_000316","1","1"
"hk_collective_000319","1","1"
"hk_collective_000321","1","1"
"hk_collective_000322","1","1"
"hk_collective_000323","1","1"
"hk_collective_000324","1","1"
"hk_collective_000326","1","1"
"hk_collective_000327","1","1"
"hk_collective_000328","1","1"
"hk_collective_000329","1","1"
"hk_collective_000330","1","1"
"hk_collective_000331","1","1"
"hk_collective_000333","1","1"
"hk_collective_000334","1","1"
"hk_collective_000335","1","1"
"hk_collective_000336","1","1"
"hk_collective_000338","1","1"
"hk_collective_000339","1","1"
"hk_collective_000340","1","1"
"hk_collective_000344","1","1"
"hk_collective_000345","1","1"
"hk_collective_000346","1","1"
"hk_collective_000347","1","1"
"hk_collective_000348","1","1"
"hk_collective_000349","1","1"
"hk_collective_000351","1","1"
"hk_collective_000352","1","1"
"hk_collective_000353","1","1"
"hk_collective_000357","1","1"
"hk_collective_000358","1","1"
"hk_collective_000359","1","1"
"hk_collective_000360","1","1"
"hk_collective_000363","1","1"
"hk_collective_000365","1","1"
"hk_collective_000366","1","1"
"hk_collective_000367","1","1"
"hk_collective_000368","1","1"
"hk_collective_000369","1","1"
"hk_collective_000370","1","1"
"hk_collective_000371","1","1"
"hk_collective_000372","1","1"
"hk_collective_000373","1","1"
"hk_collective_000374","1","1"
"hk_collective_000375","1","1"
"hk_collective_000376","1","1"
"hk_collective_000378","1","1"
"hk_collective_000379","1","1"
"hk_collective_000381","1","1"
"hk_collective_000383","1","1"
"hk_collective_000384","1","1"
"hk_collective_000386","1","1"
"hk_collective_000387","1","1"
"hk_collective_000388","1","1"
"hk_collective_000389","1","1"
"hk_collective_000390","1","1"
"hk_collective_000391","1","1"
"hk_collective_000393","1","1"
"hk_collective_000394","1","1"
"hk_collective_000395","1","1"
"hk_collective_000397","1","1"
"hk_collective_000398","1","1"
"hk_collective_000399","1","1"
"hk_collective_000400","1","1"
"hk_collective_000401","1","1"
"hk_collective_000402","1","1"
"hk_collective_000405","1","1"
"hk_collective_000407","1","1"
"hk_collective_000408","1","1"
"hk_collective_000410","1","1"
"hk_collective_000411","1","1"
"hk_collective_000412","1","1"
"hk_collective_000416","1","1"
"hk_collective_000418","1","1"
"hk_collective_000419","1","1"
"hk_collective_000420","1","1"
"hk_collective_000421","1","1"
"hk_collective_000422","1","1"
"hk_collective_000423","1","1"
"hk_collective_000425","1","1"
"hk_collective_000427","1","1"
"hk_collective_000428","1","1"
"hk_collective_000429","1","1"
"hk_collective_000430","1","1"
"hk_collective_000431","1","1"
"hk_collective_000434","1","1"
"hk_collective_000437","1","1"
"hk_collective_000438","1","1"
"hk_collective_000439","1","1"
"hk_collective_000440","1","1"
"hk_collective_000445","1","1"
"hk_collective_000446","1","1"
"hk_collective_000447","1","1"
"hk_collective_000448","1","1"
"hk_collective_000449","1","1"
"hk_collective_000450","1","1"
"hk_collective_000452","1","1"
"hk_collective_000454","1","1"
"hk_collective_000455","1","1"
"hk_collective_000456","1","1"
"hk_collective_000457","1","1"
"hk_collective_000458","1","1"
"hk_collective_000459","1","1"
"hk_collective_000460","1","1"
"hk_collective_000461","1","1"
"hk_collective_000462","1","1"
"hk_collective_000466","1","1"
"hk_collective_000467","1","1"
"hk_collective_000468","1","1"
"hk_collective_000469","1","1"
"hk_collective_000470","1","1"
"hk_collective_000471","1","1"
"hk_collective_000472","1","1"
"hk_collective_000473","1","1"
"hk_collective_000474","1","1"
"hk_collective_000475","1","1"
"hk_collective_000476","1","1"
"hk_collective_000478","1","1"
"hk_collective_000480","1","1"
"hk_collective_000482","1","1"
"hk_collective_000483","1","1"
"hk_collective_000484","1","1"
"hk_collective_000486","1","1"
"hk_collective_000493","1","1"
"hk_collective_000497","1","1"
"hk_collective_000499","1","1"
"hk_collective_000500","1","1"
"hk_collective_000501","1","1"
"hk_collective_000502","1","1"
"hk_collective_000504","1","1"
"hk_collective_000505","1","1"
"hk_collective_000508","1","1"
"hk_collective_000509","1","1"
"hk_collective_000511","1","1"
"hk_collective_000512","1","1"
"hk_collective_000514","1","1"
