"person_id","taxi_ordinal","hk_taxi_main_trip_index","plan_element_index","expected_departure_time_seconds","preceding_leg_modes","fare_hkd","taxi_type","classification_source","attribution_category","invalid_pt_before_element_indexes","removed_pt_before_element_indexes","stuck_before","last_observed_event_type","last_observed_event_time"
"hk_person_04335597","0","2","5","70205.0","pt|pt","29.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","35545.0"
"hk_person_04335597","1","3","7","81605.0","pt|pt|taxi","241.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","35545.0"
"hk_person_04335597","2","4","9","88205.0","pt|pt|taxi|taxi","243.9","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","35545.0"
"hk_person_03924946","0","2","5","66404.0","pt|pt","130.5","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","26998.0"
"hk_person_03924946","1","3","7","73304.0","pt|pt|taxi","134.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","26998.0"
"hk_person_05376146","0","2","5","62677.0","pt|pt","76.8","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29912.0"
"hk_person_05376146","1","3","7","69277.0","pt|pt|taxi","80.6","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29912.0"
"hk_person_04437219","0","2","5","68596.0","pt|pt","151.5","unresolved","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","32552.0"
"hk_person_04437219","1","3","7","75496.0","pt|pt|taxi","276.1","unresolved","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","32552.0"
"hk_person_04437219","2","4","9","82096.0","pt|pt|taxi|taxi","175.3","unresolved","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","32552.0"
