"person_id","taxi_ordinal","hk_taxi_main_trip_index","plan_element_index","departure_time_seconds","preceding_leg_modes","fare_hkd","taxi_type","classification_source","observed_departure","observed_arrival","missing_attribution"
"hk_collective_000967","1","1","3","46667.0","taxi","66.8","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000967","2","2","5","56267.0","taxi|taxi","189.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000968","0","2","5","64942.0","ride|ride","206.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000968","1","3","7","74542.0","ride|ride|taxi","320.9","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000968","2","4","9","85942.0","ride|ride|taxi|taxi","186.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001082","0","2","5","66373.0","pt|pt","159.9","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001082","1","3","7","73273.0","pt|pt|taxi","39.5","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001082","2","4","9","80173.0","pt|pt|taxi|taxi","148.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001145","0","2","5","54087.0","pt|pt","29.0","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001145","1","3","7","60987.0","pt|pt|taxi","29.0","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001202","0","2","5","68200.0","pt|pt","200.5","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001202","1","3","7","75100.0","pt|pt|taxi","193.5","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001232","0","0","1","50390.0","","116.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001232","1","1","3","57290.0","taxi","112.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001288","0","0","1","35455.0","","105.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001288","1","1","3","42355.0","taxi","100.4","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001381","0","2","5","68352.0","pt|pt","87.8","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001381","1","3","7","75252.0","pt|pt|taxi","81.5","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001383","0","0","1","35444.0","","147.3","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_001383","1","1","3","66538.0","taxi","140.3","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_001395","0","2","5","55863.0","pt|pt","116.5","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001395","1","3","7","62763.0","pt|pt|taxi","113.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001399","0","0","1","49737.0","","162.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001399","1","1","3","61137.0","taxi","113.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001399","2","2","5","67737.0","taxi|taxi","106.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001402","0","2","5","73353.0","pt|pt","112.3","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001402","1","3","7","79953.0","pt|pt|taxi","29.0","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001402","2","4","9","91353.0","pt|pt|taxi|taxi","112.3","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001415","0","0","1","47230.0","","175.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001415","1","1","3","58630.0","taxi","169.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001416","0","2","5","69467.0","pt|pt","64.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001416","1","3","7","76367.0","pt|pt|taxi","62.6","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001419","0","0","1","37515.0","","129.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001419","1","1","3","48915.0","taxi","133.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001444","0","2","5","69502.0","pt|pt","228.5","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001444","1","3","7","76102.0","pt|pt|taxi","246.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001494","0","0","1","63888.0","","227.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001494","1","1","3","70488.0","taxi","224.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001510","0","0","1","33051.0","","111.9","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001510","1","1","3","39951.0","taxi","102.1","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001553","0","0","1","33870.0","","291.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001553","1","1","3","40770.0","taxi","290.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001558","0","2","5","74209.0","pt|pt","188.9","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001558","1","3","7","85609.0","pt|pt|taxi","218.3","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001558","2","4","9","91800.0","pt|pt|taxi|taxi","198.7","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001588","0","0","1","51758.0","","29.3","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001588","1","1","3","58358.0","taxi","89.5","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001588","2","2","5","69758.0","taxi|taxi","99.3","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001591","0","0","1","35465.0","","155.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001591","1","1","3","42365.0","taxi","168.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
