poi_id,name,normalized_name,type,typecode,address,pname,cityname,adname,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_500m_buffer,source_tile_ids,source_pages,duplicate_count,stop_cluster_id,saturation_warning
BV10208494,物构所(公交站),物构所,交通设施服务;公交车站;公交车站相关,150700,111路;124路;14路;16路;172路;22路;307路;320路;33路;38路;39路;55路快线;5路;75路(敬老线路);77路;86路;东部8号线(洪山梁厝专线),福建省,福州市,鼓楼区,119.265481,26.076708,119.26071502201354,26.079845533317467,726130.1711966877,2886488.196009787,True,True,L0_005_004,1,1,物构所_00567,False
BV10208495,福大北门(公交站),福大北门,交通设施服务;公交车站;公交车站相关,150700,111路;124路;14路;16路;172路;22路;307路;320路;33路;38路;39路;55路快线;5路;75路(敬老线路);77路;86路;东部8号线(洪山梁厝专线);通勤快线9路,福建省,福州市,鼓楼区,119.27118,26.077832,119.2664101742767,26.08096634093581,726697.8568318861,2886622.2820799286,True,True,L0_006_004,2,1,福大北门_00568,False
BV10208496,茶园山(公交站),茶园山,交通设施服务;公交车站;公交车站相关,150700,(停运)317路;111路;124路;128路;16路;172路;22路;320路;55路快线;5路;77路;86路;98路;东部28号线;空港快线三坊七巷专线,福建省,福州市,鼓楼区,119.276135,26.079512,119.2713607920166,26.082643114840096,727189.9630748443,2886816.694774362,True,True,L0_006_004,1,1,茶园山_00569,False
BV10208497,柳桥(公交站),柳桥,交通设施服务;公交车站;公交车站相关,150700,(停运)317路;111路;124路;128路;16路;172路;22路;320路;55路快线;5路;77路;86路;98路;东部28号线;空港快线三坊七巷专线;通勤快线5路;通勤快线9路,福建省,福州市,鼓楼区,119.280949,26.081279,119.27616969337012,26.084406293430714,727667.7092888956,2887020.452886911,True,True,L0_006_004,1,1,柳桥_00570,False
BV10208499,高峰桥(公交站),高峰桥,交通设施服务;公交车站;公交车站相关,150700,(停运)317路;105路;111路;118路;128路;16路;22路;301路;320路;327路;55路快线;5路;65路;75路(敬老线路);77路;空港快线三坊七巷专线,福建省,福州市,鼓楼区,119.288039,26.084272,119.28325077268923,26.087392628118593,728370.405150498,2887363.738350216,True,True,L0_006_004,3,1,高峰桥_00571,False
BV10208500,古三座(公交站),古三座,交通设施服务;公交车站;公交车站相关,150700,107路;117路;121路(敬老线路);128路;129路;177路;22路;322路;328路;338路;49路;51路(敬老线路);52路;55路快线;5路;62路(敬老线路);69路;72路;76路;9路;K1路;东部37号线,福建省,福州市,鼓楼区,119.306396,26.09617,119.30157807013106,26.099270144496117,730180.8406573265,2888712.05039527,True,True,L0_007_005,1,1,古三座_00572,False
BV10208501,树兜(公交站),树兜,交通设施服务;公交车站;公交车站相关,150700,107路;117路;121路(敬老线路);128路;129路;177路;22路;322路;328路;338路;49路;51路(敬老线路);52路;5路;62路(敬老线路);69路;72路;76路;9路;K1路,福建省,福州市,鼓楼区,119.306358,26.099003,119.30153992397062,26.10210506964332,730171.4702281395,2889026.0936999563,True,True,L0_007_005,1,1,树兜_00573,False
BV10208503,省农科院(公交站),省农科院,交通设施服务;公交车站;公交车站相关,150700,107路;108路;117路;128路;129路;18路;338路;51路(敬老线路);52路;55路快线;5路;62路(敬老线路);72路;75路(敬老线路);东部26号线(卫生厅专线);贵安旅游7号专线(火车站南广场),福建省,福州市,鼓楼区,119.306163,26.103735,119.30134491152646,26.106840504129735,730142.6829331734,2889550.436856061,True,True,L0_007_005,1,1,省农科院_00574,False
BV10208504,省老干局(公交站),省老干局,交通设施服务;公交车站;公交车站相关,150700,107路;108路;117路;128路;129路;18路;338路;51路(敬老线路);52路;55路快线;5路;62路(敬老线路);72路;75路(敬老线路);东部26号线(卫生厅专线);贵安旅游7号专线(火车站南广场),福建省,福州市,鼓楼区,119.306014,26.10741,119.30119589709872,26.11051815944734,730120.5698013075,2889957.65916468,True,True,L0_007_005,2,1,省老干局_00575,False
BV10208505,电建二公司(公交站),电建二公司,交通设施服务;公交车站;公交车站相关,150700,10路;153路(敬老线路);17路;183路快线(敬老线路);187路(敬老线路);18路;20路夜间区间车;308路;323路快线;51路(敬老线路);55路快线;5路;通勤快线11路,福建省,福州市,晋安区,119.312101,26.109275,119.30727176353683,26.11237359961768,730724.7157594978,2890174.0068509043,True,True,L0_007_005;L0_007_006,2;3,2,电建二公司_00576,False
