transport_mode,official_line_id,official_direction,official_stop_count,official_stop_ids_json,pattern_source_id
ferry,7031,1,2,"[""101119"", ""101118""]",td_ferry_route_fares
ferry,7031,2,2,"[""101118"", ""101119""]",td_ferry_route_fares
ferry,7032,1,3,"[""101356"", ""101340"", ""101128""]",td_ferry_route_fares
ferry,7032,2,3,"[""101128"", ""101340"", ""101356""]",td_ferry_route_fares
ferry,7035,1,2,"[""101322"", ""101352""]",td_ferry_route_fares
ferry,7035,2,2,"[""101352"", ""101322""]",td_ferry_route_fares
ferry,7036,1,2,"[""101343"", ""101342""]",td_ferry_route_fares
ferry,7041,1,2,"[""101128"", ""101350""]",td_ferry_route_fares
ferry,7041,2,2,"[""101350"", ""101128""]",td_ferry_route_fares
ferry,7051,1,2,"[""101332"", ""101331""]",td_ferry_route_fares
ferry,7051,2,2,"[""101331"", ""101332""]",td_ferry_route_fares
ferry,7052,1,2,"[""101333"", ""101331""]",td_ferry_route_fares
ferry,7052,2,2,"[""101331"", ""101333""]",td_ferry_route_fares
ferry,7053,1,3,"[""101351"", ""101352"", ""101327""]",td_ferry_route_fares
ferry,7053,2,3,"[""101327"", ""101352"", ""101351""]",td_ferry_route_fares
ferry,7055,1,2,"[""80000023"", ""101354""]",td_ferry_route_fares
ferry,7055,2,2,"[""101354"", ""80000023""]",td_ferry_route_fares
ferry,7056,1,2,"[""101349"", ""101320""]",td_ferry_route_fares
ferry,7056,2,2,"[""101320"", ""101349""]",td_ferry_route_fares
ferry,7057,1,2,"[""101125"", ""101326""]",td_ferry_route_fares
ferry,7057,2,2,"[""101326"", ""101125""]",td_ferry_route_fares
ferry,7058,1,2,"[""101336"", ""101326""]",td_ferry_route_fares
ferry,7058,2,2,"[""101326"", ""101336""]",td_ferry_route_fares
ferry,7059,1,2,"[""101358"", ""101357""]",td_ferry_route_fares
ferry,7059,2,2,"[""101357"", ""101358""]",td_ferry_route_fares
light_rail,505,1,16,"[""920"", ""265"", ""270"", ""280"", ""295"", ""60"", ""190"", ""180"", ""170"", ""160"", ""150"", ""140"", ""130"", ""120"", ""110"", ""100""]",mtr_light_rail_stop_patterns
light_rail,505,2,14,"[""100"", ""120"", ""130"", ""140"", ""150"", ""160"", ""170"", ""200"", ""60"", ""295"", ""280"", ""270"", ""265"", ""920""]",mtr_light_rail_stop_patterns
light_rail,507,1,16,"[""1"", ""240"", ""250"", ""260"", ""265"", ""270"", ""280"", ""295"", ""70"", ""75"", ""230"", ""220"", ""212"", ""160"", ""150"", ""140""]",mtr_light_rail_stop_patterns
light_rail,507,2,17,"[""140"", ""140"", ""150"", ""160"", ""212"", ""220"", ""230"", ""75"", ""70"", ""295"", ""280"", ""270"", ""265"", ""260"", ""250"", ""240"", ""1""]",mtr_light_rail_stop_patterns
light_rail,610,1,26,"[""1"", ""10"", ""15"", ""20"", ""30"", ""40"", ""50"", ""200"", ""170"", ""212"", ""220"", ""230"", ""80"", ""90"", ""100"", ""350"", ""360"", ""370"", ""380"", ""390"", ""400"", ""560"", ""570"", ""580"", ""590"", ""600""]",mtr_light_rail_stop_patterns
light_rail,610,2,26,"[""600"", ""590"", ""580"", ""570"", ""560"", ""400"", ""390"", ""380"", ""370"", ""360"", ""350"", ""100"", ""90"", ""80"", ""230"", ""220"", ""212"", ""170"", ""200"", ""50"", ""40"", ""30"", ""20"", ""15"", ""10"", ""1""]",mtr_light_rail_stop_patterns
light_rail,614,1,24,"[""1"", ""240"", ""250"", ""260"", ""265"", ""270"", ""280"", ""300"", ""310"", ""320"", ""330"", ""340"", ""100"", ""350"", ""360"", ""370"", ""380"", ""390"", ""400"", ""560"", ""570"", ""580"", ""590"", ""600""]",mtr_light_rail_stop_patterns
light_rail,614,2,24,"[""600"", ""590"", ""580"", ""570"", ""560"", ""400"", ""390"", ""380"", ""370"", ""360"", ""350"", ""100"", ""340"", ""330"", ""320"", ""310"", ""300"", ""280"", ""270"", ""265"", ""260"", ""250"", ""240"", ""1""]",mtr_light_rail_stop_patterns
light_rail,614P,1,13,"[""1"", ""240"", ""250"", ""260"", ""265"", ""270"", ""280"", ""300"", ""310"", ""320"", ""330"", ""340"", ""100""]",mtr_light_rail_stop_patterns
light_rail,614P,2,13,"[""100"", ""340"", ""330"", ""320"", ""310"", ""300"", ""280"", ""270"", ""265"", ""260"", ""250"", ""240"", ""1""]",mtr_light_rail_stop_patterns
light_rail,615,1,26,"[""1"", ""10"", ""15"", ""20"", ""30"", ""40"", ""50"", ""200"", ""170"", ""160"", ""150"", ""140"", ""130"", ""120"", ""100"", ""350"", ""360"", ""370"", ""380"", ""390"", ""400"", ""560"", ""570"", ""580"", ""590"", ""600""]",mtr_light_rail_stop_patterns
light_rail,615,2,26,"[""600"", ""590"", ""580"", ""570"", ""560"", ""400"", ""390"", ""380"", ""370"", ""360"", ""350"", ""100"", ""120"", ""130"", ""140"", ""150"", ""160"", ""170"", ""200"", ""50"", ""40"", ""30"", ""20"", ""15"", ""10"", ""1""]",mtr_light_rail_stop_patterns
light_rail,615P,1,16,"[""1"", ""10"", ""15"", ""20"", ""30"", ""40"", ""50"", ""200"", ""170"", ""160"", ""150"", ""140"", ""130"", ""120"", ""110"", ""100""]",mtr_light_rail_stop_patterns
light_rail,615P,2,16,"[""100"", ""110"", ""120"", ""130"", ""140"", ""150"", ""160"", ""170"", ""200"", ""50"", ""40"", ""30"", ""20"", ""15"", ""10"", ""1""]",mtr_light_rail_stop_patterns
light_rail,705,1,5,"[""430"", ""435"", ""450"", ""455"", ""500""]",mtr_light_rail_stop_patterns
light_rail,705,2,12,"[""500"", ""510"", ""520"", ""530"", ""540"", ""550"", ""480"", ""468"", ""460"", ""448"", ""445"", ""430""]",mtr_light_rail_stop_patterns
light_rail,706,1,12,"[""430"", ""445"", ""448"", ""460"", ""468"", ""480"", ""550"", ""540"", ""530"", ""520"", ""510"", ""500""]",mtr_light_rail_stop_patterns
light_rail,706,2,5,"[""500"", ""455"", ""450"", ""435"", ""430""]",mtr_light_rail_stop_patterns
light_rail,751,1,24,"[""275"", ""270"", ""280"", ""295"", ""70"", ""75"", ""80"", ""90"", ""100"", ""350"", ""360"", ""370"", ""380"", ""425"", ""430"", ""435"", ""450"", ""455"", ""500"", ""490"", ""468"", ""480"", ""550"", ""550""]",mtr_light_rail_stop_patterns
light_rail,751,2,22,"[""550"", ""480"", ""468"", ""490"", ""500"", ""455"", ""450"", ""435"", ""430"", ""425"", ""380"", ""370"", ""360"", ""350"", ""100"", ""90"", ""80"", ""75"", ""70"", ""295"", ""280"", ""275""]",mtr_light_rail_stop_patterns
light_rail,761P,1,14,"[""550"", ""480"", ""468"", ""460"", ""448"", ""445"", ""425"", ""390"", ""400"", ""560"", ""570"", ""580"", ""590"", ""600""]",mtr_light_rail_stop_patterns
light_rail,761P,2,15,"[""600"", ""590"", ""580"", ""570"", ""560"", ""400"", ""390"", ""425"", ""445"", ""448"", ""460"", ""468"", ""480"", ""550"", ""550""]",mtr_light_rail_stop_patterns
train,AEL,DT,5,"[""56"", ""47"", ""46"", ""45"", ""44""]",mtr_line_station_patterns
train,AEL,UT,5,"[""44"", ""45"", ""46"", ""47"", ""56""]",mtr_line_station_patterns
train,DRL,DT,2,"[""54"", ""55""]",mtr_line_station_patterns
train,DRL,UT,2,"[""55"", ""54""]",mtr_line_station_patterns
train,EAL,DT,14,"[""76"", ""75"", ""74"", ""73"", ""72"", ""71"", ""69"", ""68"", ""67"", ""8"", ""65"", ""64"", ""94"", ""2""]",mtr_line_station_patterns
train,EAL,LMC-DT,14,"[""78"", ""75"", ""74"", ""73"", ""72"", ""71"", ""69"", ""68"", ""67"", ""8"", ""65"", ""64"", ""94"", ""2""]",mtr_line_station_patterns
train,EAL,LMC-UT,14,"[""2"", ""94"", ""64"", ""65"", ""8"", ""67"", ""68"", ""69"", ""71"", ""72"", ""73"", ""74"", ""75"", ""78""]",mtr_line_station_patterns
train,EAL,UT,14,"[""2"", ""94"", ""64"", ""65"", ""8"", ""67"", ""68"", ""69"", ""71"", ""72"", ""73"", ""74"", ""75"", ""76""]",mtr_line_station_patterns
