link_id,original_link_id,road_class,length_m,old_freespeed_kmh,speed_cap_kmh,new_freespeed_kmh,capacity,permlanes,speed_was_capped
busprio_l_10072_0_f,l_10072_0_f,trunk_link,333.971,60.012,30.0,30.0,3600,1,true
busprio_l_10073_0_f,l_10073_0_f,trunk_link,229.767,60.012,30.0,30.0,3600,1,true
busprio_l_10074_0_f,l_10074_0_f,trunk_link,610.613,60.012,30.0,30.0,3600,1,true
busprio_l_10075_0_f,l_10075_0_f,trunk_link,199.188,60.012,30.0,30.0,3600,1,true
busprio_l_10076_0_f,l_10076_0_f,trunk_link,183.632,60.012,30.0,30.0,3600,2,true
busprio_l_10077_0_f,l_10077_0_f,trunk_link,63.402,60.012,30.0,30.0,3600,2,true
busprio_l_10078_0_f,l_10078_0_f,trunk_link,65.473,60.012,30.0,30.0,3600,2,true
busprio_l_10079_0_f,l_10079_0_f,secondary,104.467,60.012,25.0,25.0,3600,2,true
busprio_l_10079_0_r,l_10079_0_r,secondary,104.467,60.012,25.0,25.0,3600,2,true
busprio_l_10079_1_f,l_10079_1_f,secondary,66.382,60.012,25.0,25.0,3600,2,true
busprio_l_10079_1_r,l_10079_1_r,secondary,66.382,60.012,25.0,25.0,3600,2,true
busprio_l_10079_2_f,l_10079_2_f,secondary,113.901,60.012,25.0,25.0,3600,2,true
busprio_l_10079_2_r,l_10079_2_r,secondary,113.901,60.012,25.0,25.0,3600,2,true
busprio_l_10079_3_f,l_10079_3_f,secondary,76.958,60.012,25.0,25.0,3600,2,true
busprio_l_10079_3_r,l_10079_3_r,secondary,76.958,60.012,25.0,25.0,3600,2,true
busprio_l_10079_4_f,l_10079_4_f,secondary,75.308,60.012,25.0,25.0,3600,2,true
busprio_l_10079_4_r,l_10079_4_r,secondary,75.308,60.012,25.0,25.0,3600,2,true
busprio_l_10079_5_f,l_10079_5_f,secondary,10.08,60.012,25.0,25.0,3600,2,true
busprio_l_10079_5_r,l_10079_5_r,secondary,10.08,60.012,25.0,25.0,3600,2,true
busprio_l_10080_0_f,l_10080_0_f,secondary,8.405,60.012,25.0,25.0,6000,4,true
busprio_l_10080_1_f,l_10080_1_f,secondary,112.329,60.012,25.0,25.0,6000,4,true
busprio_l_10081_0_f,l_10081_0_f,secondary,14.919,60.012,25.0,25.0,3600,2,true
busprio_l_10081_0_r,l_10081_0_r,secondary,14.919,60.012,25.0,25.0,3600,2,true
busprio_l_10081_1_f,l_10081_1_f,secondary,15.965,60.012,25.0,25.0,3600,2,true
busprio_l_10081_1_r,l_10081_1_r,secondary,15.965,60.012,25.0,25.0,3600,2,true
busprio_l_10081_2_f,l_10081_2_f,secondary,38.117,60.012,25.0,25.0,3600,2,true
busprio_l_10081_2_r,l_10081_2_r,secondary,38.117,60.012,25.0,25.0,3600,2,true
busprio_l_10084_0_f,l_10084_0_f,secondary,23.722,60.012,25.0,25.0,3600,1,true
busprio_l_10084_0_r,l_10084_0_r,secondary,23.722,60.012,25.0,25.0,3600,1,true
busprio_l_10085_0_f,l_10085_0_f,secondary,137.561,60.012,25.0,25.0,3600,1,true
busprio_l_10085_0_r,l_10085_0_r,secondary,137.561,60.012,25.0,25.0,3600,2,true
busprio_l_10086_0_f,l_10086_0_f,secondary,45.108,60.012,25.0,25.0,3600,2,true
busprio_l_10086_0_r,l_10086_0_r,secondary,45.108,60.012,25.0,25.0,3600,2,true
busprio_l_10086_1_f,l_10086_1_f,secondary,34.218,60.012,25.0,25.0,3600,2,true
busprio_l_10086_1_r,l_10086_1_r,secondary,34.218,60.012,25.0,25.0,3600,2,true
busprio_l_10087_0_f,l_10087_0_f,secondary,76.648,60.012,25.0,25.0,3600,2,true
busprio_l_10087_0_r,l_10087_0_r,secondary,76.648,60.012,25.0,25.0,3600,2,true
busprio_l_10088_0_f,l_10088_0_f,primary,54.728,79.992,28.0,28.0,3600,2,true
busprio_l_10088_1_f,l_10088_1_f,primary,42.449,79.992,28.0,28.0,3600,2,true
busprio_l_10089_0_f,l_10089_0_f,primary,72.563,79.992,28.0,28.0,3600,2,true
busprio_l_1008_0_f,l_1008_0_f,primary,268.507,79.992,28.0,28.0,5400,3,true
busprio_l_10090_0_f,l_10090_0_f,primary,73.201,79.992,28.0,28.0,3600,2,true
busprio_l_10091_0_f,l_10091_0_f,primary,31.534,79.992,28.0,28.0,5400,3,true
busprio_l_10091_1_f,l_10091_1_f,primary,29.621,79.992,28.0,28.0,5400,3,true
