matsim_line_id,matsim_route_id,official_route_id,matsim_route_suffix,official_json_route_sequence,schedule_stop_count,official_pattern_stop_count,candidate_count,candidate_cardinality,complete_stop_sequence_exact,route_suffix_matches_routeSeq,route_suffix_used_as_evidence,direction_status,prior_direction_status,prior_mapping_status,prior_mapping_quality,current_mapping_status,current_mapping_quality,upgrade_status,matching_method,evidence,unresolved_reason
line_gmb_2002815,gmb_2002815_1,2002815,1,1,19,19,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000678"",""20009898"",""20000680"",""20000681"",""20000682"",""20000683"",""20010063"",""20006058"",""20006074"",""20000475"",""20009901"",""20000685"",""20000686"",""20000687"",""20000688"",""20000462"",""20010064"",""20000690"",""20000691""],""schedule_stop_ids"":[""20000678"",""20009898"",""20000680"",""20000681"",""20000682"",""20000683"",""20010063"",""20006058"",""20006074"",""20000475"",""20009901"",""20000685"",""20000686"",""20000687"",""20000688"",""20000462"",""20010064"",""20000690"",""20000691""]}",
line_gmb_2002815,gmb_2002815_2,2002815,2,2,17,17,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000691"",""20016267"",""20000693"",""20000696"",""20000697"",""20000698"",""20011781"",""20000700"",""20010463"",""20000701"",""20000702"",""20000703"",""20000681"",""20002654"",""20010065"",""20006060"",""20000678""],""schedule_stop_ids"":[""20000691"",""20016267"",""20000693"",""20000696"",""20000697"",""20000698"",""20011781"",""20000700"",""20010463"",""20000701"",""20000702"",""20000703"",""20000681"",""20002654"",""20010065"",""20006060"",""20000678""]}",
line_gmb_2002844,gmb_2002844_1,2002844,1,1,12,12,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000681"",""20000682"",""20006074"",""20000475"",""20010463"",""20000701"",""20000702"",""20004183"",""20009898"",""20000680"",""20000703"",""20000681""],""schedule_stop_ids"":[""20000681"",""20000682"",""20006074"",""20000475"",""20010463"",""20000701"",""20000702"",""20004183"",""20009898"",""20000680"",""20000703"",""20000681""]}",
line_gmb_2002845,gmb_2002845_1,2002845,1,1,11,11,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000681"",""20000682"",""20004183"",""20000680"",""20006074"",""20000475"",""20010463"",""20000701"",""20000702"",""20000703"",""20000681""],""schedule_stop_ids"":[""20000681"",""20000682"",""20004183"",""20000680"",""20006074"",""20000475"",""20010463"",""20000701"",""20000702"",""20000703"",""20000681""]}",
line_gmb_2002846,gmb_2002846_1,2002846,1,1,20,20,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000418"",""20010063"",""20006058"",""20006074"",""20000475"",""20000685"",""20000478"",""20000479"",""20010066"",""20000446"",""20010067"",""20009904"",""20000482"",""20000483"",""20000484"",""20010463"",""20000701"",""20018247"",""20000681"",""20000418""],""schedule_stop_ids"":[""20000418"",""20010063"",""20006058"",""20006074"",""20000475"",""20000685"",""20000478"",""20000479"",""20010066"",""20000446"",""20010067"",""20009904"",""20000482"",""20000483"",""20000484"",""20010463"",""20000701"",""20018247"",""20000681"",""20000418""]}",
line_gmb_2002849,gmb_2002849_1,2002849,1,1,7,7,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20007612"",""20010466"",""20000700"",""20010463"",""20000475"",""20000476"",""20007612""],""schedule_stop_ids"":[""20007612"",""20010466"",""20000700"",""20010463"",""20000475"",""20000476"",""20007612""]}",
line_gmb_2002850,gmb_2002850_1,2002850,1,1,17,17,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000681"",""20000682"",""20000683"",""20000687"",""20000688"",""20000462"",""20000694"",""20000696"",""20000697"",""20000698"",""20010467"",""20000700"",""20010463"",""20000701"",""20000702"",""20000703"",""20000681""],""schedule_stop_ids"":[""20000681"",""20000682"",""20000683"",""20000687"",""20000688"",""20000462"",""20000694"",""20000696"",""20000697"",""20000698"",""20010467"",""20000700"",""20010463"",""20000701"",""20000702"",""20000703"",""20000681""]}",
line_gmb_2002910,gmb_2002910_1,2002910,1,1,10,10,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20001159"",""20001137"",""20001175"",""20001170"",""20001149"",""20005032"",""20001174"",""20007712"",""20003224"",""20001159""],""schedule_stop_ids"":[""20001159"",""20001137"",""20001175"",""20001170"",""20001149"",""20005032"",""20001174"",""20007712"",""20003224"",""20001159""]}",
line_gmb_2002943,gmb_2002943_1,2002943,1,1,12,12,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20001149"",""20005032"",""20001174"",""20001133"",""20007712"",""20007713"",""20002648"",""20002649"",""20002633"",""20002634"",""20007714"",""20007715""],""schedule_stop_ids"":[""20001149"",""20005032"",""20001174"",""20001133"",""20007712"",""20007713"",""20002648"",""20002649"",""20002633"",""20002634"",""20007714"",""20007715""]}",
line_gmb_2002943,gmb_2002943_2,2002943,2,2,12,12,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20007715"",""20002646"",""20002647"",""20002650"",""20002652"",""20005021"",""20005022"",""20007716"",""20001137"",""20001175"",""20001170"",""20001149""],""schedule_stop_ids"":[""20007715"",""20002646"",""20002647"",""20002650"",""20002652"",""20005021"",""20005022"",""20007716"",""20001137"",""20001175"",""20001170"",""20001149""]}",
line_gmb_2002945,gmb_2002945_1,2002945,1,1,22,22,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20001149"",""20001150"",""20001151"",""20002020"",""20002021"",""20003377"",""20009972"",""20003282"",""20007481"",""20017257"",""20001154"",""20009974"",""20002553"",""20009975"",""20009976"",""20009977"",""20009978"",""20000814"",""20009979"",""20000991"",""20007017"",""20002027""],""schedule_stop_ids"":[""20001149"",""20001150"",""20001151"",""20002020"",""20002021"",""20003377"",""20009972"",""20003282"",""20007481"",""20017257"",""20001154"",""20009974"",""20002553"",""20009975"",""20009976"",""20009977"",""20009978"",""20000814"",""20009979"",""20000991"",""20007017"",""20002027""]}",
line_gmb_2002945,gmb_2002945_2,2002945,2,2,22,22,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20002027"",""20010003"",""20000988"",""20000809"",""20000810"",""20000633"",""20015229"",""20009967"",""20010007"",""20000983"",""20009966"",""20007877"",""20007878"",""20014772"",""20005094"",""20002032"",""20002033"",""20002003"",""20002020"",""20001169"",""20002005"",""20001149""],""schedule_stop_ids"":[""20002027"",""20010003"",""20000988"",""20000809"",""20000810"",""20000633"",""20015229"",""20009967"",""20010007"",""20000983"",""20009966"",""20007877"",""20007878"",""20014772"",""20005094"",""20002032"",""20002033"",""20002003"",""20002020"",""20001169"",""20002005"",""20001149""]}",
line_gmb_2003010,gmb_2003010_1,2003010,1,1,11,11,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20002027"",""20010003"",""20014772"",""20005094"",""20002032"",""20002033"",""20002003"",""20002020"",""20001169"",""20002005"",""20001149""],""schedule_stop_ids"":[""20002027"",""20010003"",""20014772"",""20005094"",""20002032"",""20002033"",""20002003"",""20002020"",""20001169"",""20002005"",""20001149""]}",
line_gmb_2003042,gmb_2003042_1,2003042,1,1,27,27,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20009733"",""20000089"",""20003476"",""20004546"",""20004547"",""20004564"",""20004565"",""20000367"",""20000127"",""20004558"",""20004588"",""20004589"",""20000175"",""20000177"",""20004566"",""20000130"",""20004559"",""20004560"",""20004561"",""20004114"",""20007066"",""20002403"",""20004590"",""20003279"",""20004591"",""20016927"",""20009733""],""schedule_stop_ids"":[""20009733"",""20000089"",""20003476"",""20004546"",""20004547"",""20004564"",""20004565"",""20000367"",""20000127"",""20004558"",""20004588"",""20004589"",""20000175"",""20000177"",""20004566"",""20000130"",""20004559"",""20004560"",""20004561"",""20004114"",""20007066"",""20002403"",""20004590"",""20003279"",""20004591"",""20016927"",""20009733""]}",
line_gmb_2003043,gmb_2003043_1,2003043,1,1,9,9,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20009733"",""20000089"",""20004547"",""20004564"",""20004565"",""20000367"",""20000127"",""20004558"",""20007152""],""schedule_stop_ids"":[""20009733"",""20000089"",""20004547"",""20004564"",""20004565"",""20000367"",""20000127"",""20004558"",""20007152""]}",
line_gmb_2003043,gmb_2003043_2,2003043,2,2,12,12,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20007152"",""20004566"",""20000130"",""20004559"",""20004560"",""20004561"",""20004114"",""20007066"",""20003279"",""20004591"",""20016927"",""20009733""],""schedule_stop_ids"":[""20007152"",""20004566"",""20000130"",""20004559"",""20004560"",""20004561"",""20004114"",""20007066"",""20003279"",""20004591"",""20016927"",""20009733""]}",
line_gmb_2003045,gmb_2003045_1,2003045,1,1,31,31,1,one,True,True,False,official_route_sequence_exact_full_pattern,direction_not_encoded,partial,B,exact,A,upgraded_with_official_complete_pattern_evidence,official_json_routeId_routeSeq_stopSeq_complete_sequence,"{""candidate_count"":1,""official_stop_ids"":[""20000126"",""20010030"",""20000127"",""20004558"",""20004559"",""20004560"",""20004561"",""20004114"",""20007066"",""20000174"",""20000013"",""20000012"",""20000015"",""20000303"",""20000016"",""20007067"",""20007068"",""20004105"",""20000173"",""20000017"",""20000018"",""20000019"",""20007069"",""20007409"",""20007070"",""20004552"",""20004553"",""20004571"",""20000296"",""20000295"",""20006979""],""schedule_stop_ids"":[""20000126"",""20010030"",""20000127"",""20004558"",""20004559"",""20004560"",""20004561"",""20004114"",""20007066"",""20000174"",""20000013"",""20000012"",""20000015"",""20000303"",""20000016"",""20007067"",""20007068"",""20004105"",""20000173"",""20000017"",""20000018"",""20000019"",""20007069"",""20007409"",""20007070"",""20004552"",""20004553"",""20004571"",""20000296"",""20000295"",""20006979""]}",
