station_id,amap_stop_id,station_name,lon,lat,line_ids,line_names,occurrence_count,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,coord_source,mode
BV10972420,BV10972420,凤凰池,119.27271,26.078389,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2,119.27271,26.078389,119.26793891378063,26.081526517706173,726849.7377557468,2886687.011237092,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10961083,BV10961083,凤岗里,119.266951,26.038708,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2,119.266951,26.038708,119.26218700851291,26.041823142291644,726350.5678675158,2882277.9484050204,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10208537,BV10208537,前屿,119.350588,26.07256,350100020745;350100020746;900000090236;900000090237,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里);地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),4,119.350588,26.07256,119.34568936798208,26.075566751314422,734641.2288402892,2886164.437617693,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV11623384,BV11623384,前锦,119.362402,25.984426,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2,119.362402,25.984426,119.35749178647173,25.987354138693668,735998.843032504,2876411.603540544,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10877573,BV10877573,十洋,119.515221,25.958195,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2,119.515221,25.958195,119.5105827487898,25.96130372782666,751385.484278139,2873810.532228502,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10972437,BV10972437,半洲,119.237833,26.056572,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2,119.237833,26.056572,119.2330683638963,26.059702116612293,723402.1635641169,2884208.6557195615,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV11339279,BV11339279,南公园,119.319896,26.064099,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2,119.319896,26.064099,119.31505545450337,26.067157265101297,731592.4114721598,2885177.8279176606,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10210902,BV10210902,南门兜,119.301619,26.077774,350100020612;350100020613;350100020745;350100020746,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口);地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),4,119.301619,26.077774,119.29681067802922,26.080874062620527,729739.8495325048,2886665.339833248,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10210914,BV10210914,厚庭,119.214929,26.04133,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2,119.214929,26.04133,119.21014267568918,26.044430393735936,721136.5887649124,2882477.5184631967,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10961089,BV10961089,台屿,119.281334,26.005975,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2,119.281334,26.005975,119.27655989315835,26.00905505283447,727852.4909919888,2878672.33151637,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10972434,BV10972434,后屿,119.352461,26.081212,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2,119.352461,26.081212,119.34755858560865,26.084221332432534,734810.9899439606,2887126.754659016,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10961090,BV10961090,吴山,119.311356,25.997459,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2,119.311356,25.997459,119.3065365481824,26.000487863247606,730870.50552243,2877775.757652517,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10877577,BV10877577,吴航,119.528927,25.951181,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2,119.528927,25.951181,119.52433800915479,25.95432347805767,752778.2811126229,2873063.571969036,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10208691,BV10208691,城门,119.36022,25.996158,350100020612;350100020613;900000090236;900000090237,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口);地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),4,119.36022,25.996158,119.35531199214243,25.999097398591246,735757.1009351484,2877708.8397996477,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10877566,BV10877566,壶井,119.593335,25.905685,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2,119.593335,25.905685,119.58889246492276,25.908896797516896,759344.7688780649,2868156.08385598,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV11339280,BV11339280,大数据,119.597792,25.891571,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2,119.597792,25.891571,119.59335341651837,25.894773780359866,759822.8037239317,2866599.9125623875,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10210920,BV10210920,宁化,119.293343,26.06265,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2,119.293343,26.06265,119.28854891330907,26.065752848050764,728942.6186038142,2884975.367712733,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV11473935,BV11473935,安平,119.402224,25.992335,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2,119.402224,25.992335,119.39728841820994,25.995237066088094,739968.1258795774,2877357.5608680574,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10687400,BV10687400,屏山,119.297038,26.096256,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2,119.297038,26.096256,119.2922357404101,26.099375624641738,729246.0000473668,2888707.2453385084,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV11506304,BV11506304,帝封江,119.33544,25.987382,900000088653;900000088654;900000090236;900000090237;900000139163;900000139164,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲);地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站);滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),6,119.33544,25.987382,119.33057526631745,25.99035854974562,733297.476429377,2876696.1473702323,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10972425,BV10972425,建新,119.237864,26.064362,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2,119.237864,26.064362,119.23309879979654,26.067497363189865,723390.4117239492,2885072.3952157446,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10208471,BV10208471,排下,119.354008,26.001603,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2,119.354008,26.001603,119.3491091055244,26.004555958555805,735125.1240455948,2878302.4721860173,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV11339275,BV11339275,文岭,119.695267,25.973998,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2,119.695267,25.973998,119.69073375221797,25.977121667417787,769395.9505155638,2875922.298485412,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
BV10687401,BV10687401,斗门,119.313723,26.103973,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2,119.313723,26.103973,119.30889114953922,26.107069200111113,730897.1356614478,2889589.1485839323,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
