destination_facility_id,tcs_zone,dcca,study_area_id,assignment_method,source_note
education_tertiary_poi_igeocom:540186,6,2708,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:541044,16,3429,nt_tin_shui_wai,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:541804,8,2410,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:542387,8,2406,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:542602,1,1113,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:542809,1,1105,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:543071,8,2417,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:545021,9,2610,dc_26,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:545901,1,1114,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:546177,8,2407,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:546781,3,1332,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:547017,5,2705,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:547052,8,2418,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:547247,2,1207,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:547998,11,3214,nt_tsuen_wan_tsuen_wan_area,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:548455,17,3605,nt_tai_po,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:548728,8,2407,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:556569,10,2514,dc_25,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:558287,3,1321,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:559934,4,1417,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:4870355076:23594,11,3215,nt_tsuen_wan_tsuen_wan_area,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:5397827707:25327,20,3732,nt_sha_tin_ma_on_shan_area,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:6893109933:30206,2,1211,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:7489475:51624,17,3615,nt_tai_po,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:8353850616:33047,3,1321,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:52450,3,1310,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:52993,9,2619,dc_26,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:52999,9,2620,dc_26,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:53044,9,2626,dc_26,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:53806,7,2309,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:54702,8,2412,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:54916,5,2705,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:55105,17,3612,nt_tai_po,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:55689,21,3804,nt_tseung_kwan_o,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:55975,18,3501,nt_fanling_sheung_shui_kwu_tung,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:55994,14,3306,nt_tuen_mun,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:56380,16,3432,nt_tin_shui_wai,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:58229,9,2636,dc_26,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:59856,4,1416,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:63623,8,2410,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:63674,8,2407,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:66570,23,3436,nt_other_dc_34,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_osm:missing:68970,23,3439,nt_other_dc_34,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0004864,1,1102,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0005761,1,1102,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0010375,1,1102,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0016769,1,1105,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0021956,1,1104,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0024534,1,1103,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0041186,1,1106,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0050113,1,1109,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0051583,1,1115,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0063164,1,1114,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0073065,1,1113,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0076279,1,1113,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0082732,1,1114,dc_11,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0110317,2,1206,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0118903,2,1206,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0119331,3,1318,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0126689,2,1207,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0130681,2,1208,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0133526,2,1210,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0134761,2,1202,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0135821,2,1211,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0142754,2,1211,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0147107,2,1201,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0163145,3,1302,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0165281,3,1330,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0166142,3,1304,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0171856,3,1305,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0172227,3,1329,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0174922,3,1304,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0189240,3,1330,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0199560,3,1332,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0206937,3,1332,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0208611,3,1335,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0211426,3,1335,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0217488,3,1312,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0232317,3,1333,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0234926,3,1315,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0237904,3,1322,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0238340,3,1319,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0239552,3,1319,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0242039,3,1320,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0251576,3,1317,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0252709,3,1320,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0273962,3,1316,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0278922,3,1323,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0280873,3,1322,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0288848,3,1327,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0296018,3,1328,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0302488,3,1326,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0306390,3,1325,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0316647,3,1325,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0319927,3,1333,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0337421,3,1335,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0338562,3,1334,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0353610,4,1414,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0360337,4,1405,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0363570,4,1405,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0391029,4,1411,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0395811,4,1410,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0397300,4,1412,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0398047,4,1409,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0413274,4,1401,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0415040,4,1415,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0419312,4,1416,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0419980,4,1416,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0420318,4,1417,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0421423,4,1417,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0422791,3,1314,dc_13,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0430997,5,2720,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0439394,5,2703,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0439912,5,2703,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0445768,5,2704,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0445811,5,2703,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0449616,6,2706,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0449655,6,2709,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0453358,6,2707,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0463126,6,2706,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0466324,6,2707,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0526287,5,2716,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0574475,7,2304,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0600828,7,2305,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0613712,7,2311,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0638472,7,2309,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0643365,7,2313,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0659361,7,2315,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0663433,7,2315,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0668763,7,2319,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0671226,7,2311,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0689441,7,2302,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0691049,7,2323,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0699057,7,2321,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0707207,7,2325,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0708275,7,2305,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
home_hk_hh_0717490,8,2404,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
