summary_scope,canonical_facility_id,scenario,passage_event_count,resolved_event_count,unresolved_event_count,charge_leg_count,resolved_private_car_leg_count,incomplete_unresolved_leg_count,out_of_scope_leg_count,total_cost_hkd_resolved_only,mean_cost_hkd_resolved_only,median_cost_hkd_resolved_only,p90_cost_hkd_resolved_only,rate_effective_dates,rate_sources,rate_boundary_event_count,all_record_resolved_coverage_fraction,private_car_resolved_coverage_fraction
overall,all,base,30837,30837,0,25858,64789,0,2929,751760.0,11.603204247634629,0.0,40.0,2026-07-17T00:00:00+00:00|2008-03-21T00:00:00+00:00|1999-04-01T00:00:00+00:00|2025-09-21T00:00:00+00:00|2016-01-01T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL|data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,3266,0.956747098260433,1.0
facility,aberdeen_tunnel,high,2235,2235,0,2235,2235,0,0,17880.0,8.0,8.0,8.0,2025-09-21T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,cross_harbour_tunnel,high,7214,7214,0,7214,7214,0,0,219684.0,30.452453562517327,30.0,40.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,935,1.0,1.0
facility,eastern_harbour_crossing,high,3984,3984,0,3984,3984,0,0,123874.0,31.092871485943775,30.0,40.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,551,1.0,1.0
facility,lion_rock_tunnel,high,2919,2919,0,2919,2919,0,0,23352.0,8.0,8.0,8.0,1999-04-01T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,shing_mun_tunnels,high,1759,1759,0,1759,1759,0,0,14072.0,8.0,8.0,8.0,2025-09-21T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,tai_lam_tunnel,high,3944,3944,0,3944,3944,0,0,129406.0,32.81085192697769,30.0,45.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,820,1.0,1.0
facility,tates_cairn_tunnel,high,2832,2832,0,2832,2832,0,0,56640.0,20.0,20.0,20.0,2016-01-01T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,tsing_sha_control_area,high,1393,1393,0,1393,1393,0,0,11144.0,8.0,8.0,8.0,2008-03-21T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,0,1.0,1.0
facility,western_harbour_crossing,high,4557,4557,0,4557,4557,0,0,173012.0,37.96620583717358,30.0,60.0,2026-07-17T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL,960,1.0,1.0
overall,all,high,30837,30837,0,25858,64789,0,2929,769064.0,11.870286622729166,0.0,40.0,2026-07-17T00:00:00+00:00|2008-03-21T00:00:00+00:00|1999-04-01T00:00:00+00:00|2025-09-21T00:00:00+00:00|2016-01-01T00:00:00+00:00,data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TV_TOLL|data/transit/hongkong/RdNet_IRNP.gdb:TUN_BRIDGE_TOLL,3266,0.956747098260433,1.0
