poi_id,name,normalized_name,type,typecode,address,pname,cityname,adname,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_500m_buffer,source_tile_ids,source_pages,duplicate_count,stop_cluster_id,saturation_warning,inside_boundary_2km_buffer,distance_to_boundary_m
BV10209880,北园(公交站),北园,交通设施服务;公交车站;公交车站相关,150700,167路;210路;50路,福建省,福州市,仓山区,119.329061,26.020249,119.324206,26.02325626,732594.8109,2880329.863,TRUE,TRUE,L0_008_002,1,1,北园_01023,FALSE,TRUE,3372.298219
BV10209881,北园西(公交站),北园西,交通设施服务;公交车站;公交车站相关,150700,167路;190路(敬老线路);50路,福建省,福州市,仓山区,119.319345,26.020469,119.3145088,26.02349489,731623.5626,2880339.053,TRUE,TRUE,L0_007_002,1,1,北园西_01024,FALSE,TRUE,3879.879976
BV10209882,南二环首山路口(公交站),南二环首山路口,交通设施服务;公交车站;公交车站相关,150700,139快线;139路快线;167路;190路(敬老线路);50路,福建省,福州市,仓山区,119.315968,26.019974,119.3111383,26.02300587,731287.1033,2880278.889,TRUE,TRUE,L0_007_002,1,1,南二环首山路口_01025,FALSE,TRUE,3715.321946
BV10209883,齐安村(公交站),齐安村,交通设施服务;公交车站;公交车站相关,150700,139快线;139路快线;167路;190路(敬老线路);地铁接驳6号专线;通勤快线15路,福建省,福州市,仓山区,119.302223,26.021658,119.2974179,26.02471528,729910.2452,2880444.043,TRUE,TRUE,L0_007_002,1,1,齐安村_01026,FALSE,TRUE,3430.870966
BV10209884,鼓岭古道(公交站),鼓岭古道,交通设施服务;公交车站;公交车站相关,150700,170路,福建省,福州市,晋安区,119.369598,26.093634,119.3646703,26.09662224,736498.2089,2888531.792,TRUE,TRUE,L0_009_005,1,1,鼓岭古道_01027,FALSE,TRUE,175.8971982
BV10209887,园中圣泉寺(公交站),园中圣泉寺,交通设施服务;公交车站;公交车站相关,150700,170路,福建省,福州市,晋安区,119.359239,26.105031,119.3543242,26.10804121,735440.208,2889778.286,TRUE,TRUE,L0_009_005,1,1,园中圣泉寺_01028,FALSE,TRUE,385.3496304
BV10209891,三环西园路口(公交站),三环西园路口,交通设施服务;公交车站;公交车站相关,150700,127路;170路;196路;东部24号线,福建省,福州市,晋安区,119.322369,26.115577,119.3175198,26.11866057,731737.4435,2890888.832,TRUE,TRUE,L0_007_006;L0_008_006,2;3,2,三环西园路口_01029,FALSE,TRUE,1373.595796
BV10209892,三环桂山路口(公交站),三环桂山路口,交通设施服务;公交车站;公交车站相关,150700,127路;170路;196路;东部34号线,福建省,福州市,晋安区,119.327244,26.112486,119.3223856,26.11555828,732230.2931,2890553.773,TRUE,TRUE,L0_008_006,2,1,三环桂山路口_01030,FALSE,TRUE,877.0014524
BV10209893,三环福飞路口(公交站),三环福飞路口,交通设施服务;公交车站;公交车站相关,150700,153路(敬老线路);382路;75路(敬老线路);770路;贵安旅游6号线,福建省,福州市,晋安区,119.300836,26.122629,119.2960256,26.12575571,729573.5679,2891636.848,TRUE,TRUE,L0_007_006,1,1,三环福飞路口_01031,FALSE,TRUE,1765.258732
BV10209898,昌华动力机械(公交站),昌华动力机械,交通设施服务;公交车站;公交车站相关,150700,602路,福建省,福州市,闽侯县,119.157225,26.153975,119.1523197,26.15704637,715143.0829,2894857.85,TRUE,TRUE,L0_001_007,2,1,昌华动力机械_01032,FALSE,TRUE,658.3279498
