check,count,dataset,max_value,mean_value,severity
epsg32650_reprojection_diff_m,0,bus_stops_complete,2.917359603136235e-09,6.69248485854705e-10,info
epsg32650_reprojection_diff_m,0,bus_stops_by_line,2.917359603136235e-09,6.302681293797865e-10,info
