line_id,route_id,links_before,links_after,removed_prefix,removed_suffix,index_warnings
bus_line_350100010139,bus_route_350100010139,190,190,0,0,0
bus_line_350100010140,bus_route_350100010140,268,268,0,0,0
bus_line_350100010141,bus_route_350100010141,188,188,0,0,0
bus_line_350100010142,bus_route_350100010142,171,171,0,0,0
bus_line_350100010145,bus_route_350100010145,619,619,0,0,0
bus_line_350100010146,bus_route_350100010146,419,415,0,4,0
bus_line_350100010147,bus_route_350100010147,442,442,0,0,0
bus_line_350100010148,bus_route_350100010148,284,282,0,2,0
bus_line_350100010149,bus_route_350100010149,282,281,0,1,0
bus_line_350100010150,bus_route_350100010150,427,416,0,11,0
bus_line_350100010151,bus_route_350100010151,454,452,0,2,0
bus_line_350100010152,bus_route_350100010152,378,378,0,0,0
bus_line_350100010153,bus_route_350100010153,280,280,0,0,0
bus_line_350100010154,bus_route_350100010154,338,333,0,5,0
bus_line_350100010155,bus_route_350100010155,437,437,0,0,0
bus_line_350100010156,bus_route_350100010156,469,468,0,1,0
bus_line_350100010157,bus_route_350100010157,413,412,1,0,0
bus_line_350100010158,bus_route_350100010158,303,299,0,4,0
bus_line_350100010163,bus_route_350100010163,448,377,0,71,0
bus_line_350100010164,bus_route_350100010164,425,425,0,0,0
bus_line_350100010167,bus_route_350100010167,235,234,0,1,0
bus_line_350100010168,bus_route_350100010168,224,224,0,0,0
bus_line_350100010171,bus_route_350100010171,78,77,0,1,0
bus_line_350100010172,bus_route_350100010172,79,79,0,0,0
bus_line_350100010173,bus_route_350100010173,273,273,0,0,0
bus_line_350100010174,bus_route_350100010174,238,228,0,10,0
bus_line_350100010175,bus_route_350100010175,272,272,0,0,0
bus_line_350100010176,bus_route_350100010176,293,293,0,0,0
bus_line_350100010193,bus_route_350100010193,277,277,0,0,0
bus_line_350100010197,bus_route_350100010197,447,446,0,1,0
bus_line_350100010198,bus_route_350100010198,157,157,0,0,0
bus_line_350100010199,bus_route_350100010199,56,56,0,0,0
bus_line_350100010200,bus_route_350100010200,247,240,0,7,0
bus_line_350100010202,bus_route_350100010202,365,364,0,1,0
bus_line_350100010205,bus_route_350100010205,501,501,0,0,0
bus_line_350100010207,bus_route_350100010207,226,226,0,0,0
bus_line_350100010209,bus_route_350100010209,68,68,0,0,0
bus_line_350100010211,bus_route_350100010211,281,281,0,0,0
bus_line_350100010212,bus_route_350100010212,315,315,0,0,0
bus_line_350100010213,bus_route_350100010213,98,98,0,0,0
bus_line_350100010216,bus_route_350100010216,208,208,0,0,0
bus_line_350100010217,bus_route_350100010217,80,80,0,0,0
bus_line_350100010220,bus_route_350100010220,499,390,0,109,0
bus_line_350100010221,bus_route_350100010221,172,172,0,0,0
bus_line_350100010224,bus_route_350100010224,203,203,0,0,0
bus_line_350100010228,bus_route_350100010228,427,427,0,0,0
bus_line_350100010230,bus_route_350100010230,446,445,0,1,0
bus_line_350100010231,bus_route_350100010231,504,504,0,0,0
bus_line_350100010232,bus_route_350100010232,509,498,11,0,0
bus_line_350100010233,bus_route_350100010233,86,85,0,1,0
bus_line_350100010234,bus_route_350100010234,419,419,0,0,0
bus_line_350100010235,bus_route_350100010235,550,535,0,15,0
bus_line_350100010236,bus_route_350100010236,376,376,0,0,0
bus_line_350100010237,bus_route_350100010237,325,324,0,1,0
bus_line_350100010238,bus_route_350100010238,273,273,0,0,0
bus_line_350100010239,bus_route_350100010239,413,413,0,0,0
bus_line_350100010240,bus_route_350100010240,534,533,0,1,0
bus_line_350100010241,bus_route_350100010241,168,168,0,0,0
bus_line_350100010242,bus_route_350100010242,415,415,0,0,0
bus_line_350100010243,bus_route_350100010243,233,233,0,0,0
bus_line_350100010244,bus_route_350100010244,219,218,0,1,0
bus_line_350100010245,bus_route_350100010245,237,237,0,0,0
bus_line_350100010246,bus_route_350100010246,427,427,0,0,0
bus_line_350100010247,bus_route_350100010247,371,371,0,0,0
bus_line_350100010248,bus_route_350100010248,222,222,0,0,0
bus_line_350100010249,bus_route_350100010249,343,343,0,0,0
bus_line_350100010250,bus_route_350100010250,295,293,0,2,0
bus_line_350100010251,bus_route_350100010251,386,386,0,0,0
bus_line_350100010253,bus_route_350100010253,437,387,0,50,0
bus_line_350100010254,bus_route_350100010254,231,230,0,1,0
