matsim_line_id,matsim_route_id,operator,official_route_id,official_route_sequence,official_direction,scheduled_stop_count,mapped_stop_count,stop_id_coverage,candidate_count,candidate_cardinality,direction_status,official_pattern_status,required_forward_pair_count,matched_fare_pair_count,forward_pair_coverage,gtfs_fare_id_count,distinct_fare_count,full_fare_record_count,fare_condition_completeness,mapping_status,mapping_quality,fare_readiness,matching_method,evidence,unresolved_reason
ferry_line_7010,ferry_7010_241d0e6607,FERRY,7010,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101337"",""101127""]}",
ferry_line_7017,ferry_7017_6cc4882382,FERRY,7017,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101103"",""101104""]}",
ferry_line_7017,ferry_7017_ae428b07dc,FERRY,7017,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101104"",""101103""]}",
ferry_line_7018,ferry_7018_3ed79bae83,FERRY,7018,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101103"",""101105""]}",
ferry_line_7018,ferry_7018_9a42f441bb,FERRY,7018,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101105"",""101103""]}",
ferry_line_7019,ferry_7019_b148016210,FERRY,7019,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101111"",""101110""]}",
ferry_line_7019,ferry_7019_e22d2b1e47,FERRY,7019,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101110"",""101111""]}",
ferry_line_7020,ferry_7020_8fb3659e7d,FERRY,7020,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101110"",""101112""]}",
ferry_line_7020,ferry_7020_a93ef4f400,FERRY,7020,2,2,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101112"",""101110""]}",
ferry_line_7022,ferry_7022_4b93a86e1f,FERRY,7022,1,1,2,2,1.0,1,one,explicit_direction_exact,exact_complete_pattern,1,1,1.0,1,1,1,passenger_payment_class_vessel_day_unspecified_in_source,exact,A,ready_exact_direction_with_unspecified_source_conditions,explicit_facility_stop_ids_plus_exact_json_direction_pattern_plus_gtfs_od,"{""json_pattern_candidate_count"":1,""matched_forward_pairs"":1,""official_stop_ids"":[""101321"",""101320""]}",
