fare_scope,operator,matsim_line_id,matsim_route_id,official_route_id,official_route_sequence,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,service_class,vessel_service_type,day_type,time_period,published_fare_hkd,currency,fare_amount_role,cost_component,cost_source,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,source_record_id,source_file,source_sha256,record_status,candidate_records_json,mapping_status,mapping_quality,cost_quality,cost_applicability_status,matching_method,unresolved_reason
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000038,ferry_7000038_a831b0dd3b,7000038,unspecified_in_source,unspecified_in_source,80000002,80000025,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,30.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872670|fare_attributes.txt:872697|fare_id:7000038-1-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872697,""fare_id"":""7000038-1-1-2"",""fare_rule_line"":872670,""price"":30.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000039,ferry_7000039_2a94f9877e,7000039,unspecified_in_source,unspecified_in_source,80000002,80000003,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,30.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872675|fare_attributes.txt:872702|fare_id:7000039-1-2-4,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872702,""fare_id"":""7000039-1-2-4"",""fare_rule_line"":872675,""price"":30.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000039,ferry_7000039_2a94f9877e,7000039,unspecified_in_source,unspecified_in_source,80000002,80000015,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,30.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872674|fare_attributes.txt:872701|fare_id:7000039-1-2-3,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872701,""fare_id"":""7000039-1-2-3"",""fare_rule_line"":872674,""price"":30.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000039,ferry_7000039_2a94f9877e,7000039,unspecified_in_source,unspecified_in_source,80000015,80000003,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,30.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872676|fare_attributes.txt:872703|fare_id:7000039-1-3-4,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872703,""fare_id"":""7000039-1-3-4"",""fare_rule_line"":872676,""price"":30.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000039,ferry_7000039_2a94f9877e,7000039,unspecified_in_source,unspecified_in_source,80000025,80000002,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,30.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872671|fare_attributes.txt:872698|fare_id:7000039-1-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872698,""fare_id"":""7000039-1-1-2"",""fare_rule_line"":872671,""price"":30.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000039,ferry_7000039_2a94f9877e,7000039,unspecified_in_source,unspecified_in_source,80000025,80000003,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,60.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872673|fare_attributes.txt:872700|fare_id:7000039-1-1-4,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872700,""fare_id"":""7000039-1-1-4"",""fare_rule_line"":872673,""price"":60.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000039,ferry_7000039_2a94f9877e,7000039,unspecified_in_source,unspecified_in_source,80000025,80000015,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,30.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872672|fare_attributes.txt:872699|fare_id:7000039-1-1-3,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872699,""fare_id"":""7000039-1-1-3"",""fare_rule_line"":872672,""price"":30.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000040,ferry_7000040_86521027fc,7000040,unspecified_in_source,unspecified_in_source,80000003,80000002,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,30.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872678|fare_attributes.txt:872705|fare_id:7000040-1-1-3,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872705,""fare_id"":""7000040-1-1-3"",""fare_rule_line"":872678,""price"":30.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000040,ferry_7000040_86521027fc,7000040,unspecified_in_source,unspecified_in_source,80000003,80000015,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,30.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872677|fare_attributes.txt:872704|fare_id:7000040-1-1-2,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872704,""fare_id"":""7000040-1-1-2"",""fare_rule_line"":872677,""price"":30.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
route_stop_od_direction_not_encoded,FERRY,ferry_line_7000040,ferry_7000040_86521027fc,7000040,unspecified_in_source,unspecified_in_source,80000015,80000002,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,unspecified_in_source,30.0,HKD,published_fare_passenger_and_payment_basis_unspecified,pt_fare,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,gtfs:fare_rules.txt:872679|fare_attributes.txt:872706|fare_id:7000040-1-2-3,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,available,"[{""fare_attribute_line"":872706,""fare_id"":""7000040-1-2-3"",""fare_rule_line"":872679,""price"":30.0}]",partial,C,C,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,route_plus_ordered_gtfs_stop_od_direction_not_encoded,
