matsim_stop_facility_id,official_stop_id,official_stop_name,gtfs_stop_id,in_ferry_facilities,in_gtfs,in_ferry_json,matsim_route_count,candidate_count,candidate_cardinality,mapping_status,mapping_quality,matching_method,evidence,unresolved_reason
ferry_stop_ferry_7010_114138a3d0_00,101127,"Discovery Bay Ferry Pier at Plaza Lane, Discovery Bay, Lantau Island",101127,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101127"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7010_114138a3d0_01,101337,Central Pier No. 3 at Man Kwong Street,101337,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101337"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7010_241d0e6607_00,101337,Central Pier No. 3 at Man Kwong Street,101337,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101337"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7010_241d0e6607_01,101127,"Discovery Bay Ferry Pier at Plaza Lane, Discovery Bay, Lantau Island",101127,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101127"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7017_6cc4882382_00,101103,Park Island Ferry Pier at Pak Lai Road,101103,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101103"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7017_6cc4882382_01,101104,Central Pier No. 2 at Man Kwong Street,101104,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101104"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7017_ae428b07dc_00,101104,Central Pier No. 2 at Man Kwong Street,101104,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101104"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7017_ae428b07dc_01,101103,Park Island Ferry Pier at Pak Lai Road,101103,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101103"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7018_3ed79bae83_00,101103,Park Island Ferry Pier at Pak Lai Road,101103,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101103"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7018_3ed79bae83_01,101105,Tsuen Wan Ferry Pier at Tsuen Wan,101105,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101105"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7018_9a42f441bb_00,101105,Tsuen Wan Ferry Pier at Tsuen Wan,101105,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101105"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7018_9a42f441bb_01,101103,Park Island Ferry Pier at Pak Lai Road,101103,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101103"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7019_b148016210_00,101111,Hung Hom (North) Ferry Pier at Wa Shun Street,101111,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101111"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7019_b148016210_01,101110,North Point (West) Ferry Pier (near North Point Promenade),101110,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101110"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7019_e22d2b1e47_00,101110,North Point (West) Ferry Pier (near North Point Promenade),101110,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101110"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7019_e22d2b1e47_01,101111,Hung Hom (North) Ferry Pier at Wa Shun Street,101111,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101111"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7020_8fb3659e7d_00,101110,North Point (West) Ferry Pier (near North Point Promenade),101110,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101110"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7020_8fb3659e7d_01,101112,Kowloon City Ferry Pier at San Ma Tau Street,101112,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101112"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7020_a93ef4f400_00,101112,Kowloon City Ferry Pier at San Ma Tau Street,101112,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101112"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7020_a93ef4f400_01,101110,North Point (West) Ferry Pier (near North Point Promenade),101110,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101110"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
ferry_stop_ferry_7022_4b93a86e1f_00,101321,Sai Wan Ho Ferry Pier at Tai Hong Street,101321,True,True,True,1,1,one,exact,A,explicit_ferry_stop_facilities_stop_id,"{""facility_stop_id"":""101321"",""gtfs_stop_id_exact"":true,""json_stop_id_exact"":true}",
