matsim_line_id,matsim_route_id,official_line_id,official_direction,scheduled_stop_count,mapped_station_count,station_id_coverage,direction_status,required_forward_pair_count,matched_forward_pair_count,forward_pair_coverage,fare_network_scope,mapping_status,mapping_quality,fare_readiness,matching_method,evidence,unresolved_reason
line_mtr_TCL,mtr_TCL_UT,TCL,UT,8,8,1.0,explicit_direction_exact,28,28,1.0,domestic_mtr_station_od,exact,A,ready,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_domestic_fares_20260720""],""official_stop_ids"":[""39"",""40"",""41"",""53"",""21"",""42"",""54"",""43""]}",
line_mtr_TKL,mtr_TKL_DT,TKL,DT,7,7,1.0,explicit_direction_exact,21,21,1.0,domestic_mtr_station_od,exact,A,ready,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_domestic_fares_20260720""],""official_stop_ids"":[""52"",""51"",""50"",""49"",""48"",""32"",""31""]}",
line_mtr_TKL,mtr_TKL_LHP-DT,TKL,DT;TKS-DT,6,6,1.0,explicit_multi_direction_composite,15,15,1.0,domestic_mtr_station_od,one_to_many_explicit,B,ready,line_plus_multiple_official_direction_segments,"{""candidate_method"":""multiple_explicit_direction_edge_composition"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_domestic_fares_20260720""],""official_stop_ids"":[""57"",""50"",""49"",""48"",""32"",""31""]}",
line_mtr_TKL,mtr_TKL_LHP-UT,TKL,TKS-UT;UT,6,6,1.0,explicit_multi_direction_composite,15,15,1.0,domestic_mtr_station_od,one_to_many_explicit,B,ready,line_plus_multiple_official_direction_segments,"{""candidate_method"":""multiple_explicit_direction_edge_composition"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_domestic_fares_20260720""],""official_stop_ids"":[""31"",""32"",""48"",""49"",""50"",""57""]}",
line_mtr_TKL,mtr_TKL_TKS-DT,TKL,TKS-DT,3,3,1.0,explicit_direction_exact,3,3,1.0,domestic_mtr_station_od,exact,A,ready,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_domestic_fares_20260720""],""official_stop_ids"":[""57"",""50"",""49""]}",
line_mtr_TKL,mtr_TKL_TKS-UT,TKL,TKS-UT,3,3,1.0,explicit_direction_exact,3,3,1.0,domestic_mtr_station_od,exact,A,ready,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_domestic_fares_20260720""],""official_stop_ids"":[""49"",""50"",""57""]}",
line_mtr_TKL,mtr_TKL_UT,TKL,UT,7,7,1.0,explicit_direction_exact,21,21,1.0,domestic_mtr_station_od,exact,A,ready,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_domestic_fares_20260720""],""official_stop_ids"":[""31"",""32"",""48"",""49"",""50"",""51"",""52""]}",
line_mtr_TML,mtr_TML_DT,TML,DT,27,27,1.0,explicit_direction_exact,351,351,1.0,domestic_mtr_station_od,exact,A,ready,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_domestic_fares_20260720""],""official_stop_ids"":[""120"",""119"",""118"",""117"",""116"",""115"",""114"",""20"",""53"",""111"",""80"",""64"",""84"",""93"",""92"",""91"",""11"",""90"",""67"",""96"",""97"",""98"",""99"",""100"",""101"",""102"",""103""]}",
line_mtr_TML,mtr_TML_UT,TML,UT,27,27,1.0,explicit_direction_exact,351,351,1.0,domestic_mtr_station_od,exact,A,ready,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_domestic_fares_20260720""],""official_stop_ids"":[""103"",""102"",""101"",""100"",""99"",""98"",""97"",""96"",""67"",""90"",""11"",""91"",""92"",""93"",""84"",""64"",""80"",""111"",""53"",""20"",""114"",""115"",""116"",""117"",""118"",""119"",""120""]}",
line_mtr_TWL,mtr_TWL_DT,TWL,DT,16,16,1.0,explicit_direction_exact,120,120,1.0,domestic_mtr_station_od,exact,A,ready,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_domestic_fares_20260720""],""official_stop_ids"":[""25"",""24"",""23"",""22"",""21"",""20"",""19"",""18"",""17"",""16"",""6"",""5"",""4"",""3"",""2"",""1""]}",
line_mtr_TWL,mtr_TWL_UT,TWL,UT,16,16,1.0,explicit_direction_exact,120,120,1.0,domestic_mtr_station_od,exact,A,ready,line_direction_and_exact_schedule_stop_sequence,"{""candidate_method"":""exact_official_stop_sequence"",""direction_edge_coverage"":1.0,""fare_source_ids"":[""mtr_domestic_fares_20260720""],""official_stop_ids"":[""1"",""2"",""3"",""4"",""5"",""6"",""16"",""17"",""18"",""19"",""20"",""21"",""22"",""23"",""24"",""25""]}",
