station_id,station_code,station_name_en,line_codes,in_domestic_fare_matrix,in_airport_express_fare_matrix,in_schedule,schedule_facility_count,schedule_facility_ids_json,mapping_status,mapping_quality,matching_method,source_id,unresolved_reason
43,TUC,Tung Chung,TCL,True,False,True,2,"[""pt_mtr_TCL_DT_TUC__ec6070b94b_000"",""pt_mtr_TCL_UT_TUC__46732d33f8_007""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
44,HOK,Hong Kong,AEL,False,True,True,2,"[""pt_mtr_AEL_DT_HOK__b341ab44f2_004"",""pt_mtr_AEL_UT_HOK__8167283ba6_000""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
45,KOW,Kowloon,AEL,False,True,True,2,"[""pt_mtr_AEL_DT_KOW__b341ab44f2_003"",""pt_mtr_AEL_UT_KOW__8167283ba6_001""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
46,TSY,Tsing Yi,AEL,False,True,True,2,"[""pt_mtr_AEL_DT_TSY__b341ab44f2_002"",""pt_mtr_AEL_UT_TSY__8167283ba6_002""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
47,AIR,Airport,AEL,False,True,True,2,"[""pt_mtr_AEL_DT_AIR__b341ab44f2_001"",""pt_mtr_AEL_UT_AIR__8167283ba6_003""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
48,YAT,Yau Tong,KTL;TKL,True,False,True,8,"[""pt_mtr_KTL_DT_YAT__b54ed23bfb_001"",""pt_mtr_KTL_SHORT-DT_YAT__7042215d45_001"",""pt_mtr_KTL_SHORT-UT_YAT__b1d4e0b499_014"",""pt_mtr_KTL_UT_YAT__6f5be7b0c5_015"",""pt_mtr_TKL_DT_YAT__a600e9191d_004"",""pt_mtr_TKL_LHP-DT_YAT__a7f3b8b24d_003"",""pt_mtr_TKL_LHP-UT_YAT__3a6a230269_002"",""pt_mtr_TKL_UT_YAT__0f0c38b5ff_002""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
49,TIK,Tiu Keng Leng,KTL;TKL,True,False,True,10,"[""pt_mtr_KTL_DT_TIK__b54ed23bfb_000"",""pt_mtr_KTL_SHORT-DT_TIK__7042215d45_000"",""pt_mtr_KTL_SHORT-UT_TIK__b1d4e0b499_015"",""pt_mtr_KTL_UT_TIK__6f5be7b0c5_016"",""pt_mtr_TKL_DT_TIK__a600e9191d_003"",""pt_mtr_TKL_LHP-DT_TIK__a7f3b8b24d_002"",""pt_mtr_TKL_LHP-UT_TIK__3a6a230269_003"",""pt_mtr_TKL_TKS-DT_TIK__b1f62200fd_002"",""pt_mtr_TKL_TKS-UT_TIK__ca12f418e7_000"",""pt_mtr_TKL_UT_TIK__0f0c38b5ff_003""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
50,TKO,Tseung Kwan O,TKL,True,False,True,6,"[""pt_mtr_TKL_DT_TKO__a600e9191d_002"",""pt_mtr_TKL_LHP-DT_TKO__a7f3b8b24d_001"",""pt_mtr_TKL_LHP-UT_TKO__3a6a230269_004"",""pt_mtr_TKL_TKS-DT_TKO__b1f62200fd_001"",""pt_mtr_TKL_TKS-UT_TKO__ca12f418e7_001"",""pt_mtr_TKL_UT_TKO__0f0c38b5ff_004""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
51,HAH,Hang Hau,TKL,True,False,True,2,"[""pt_mtr_TKL_DT_HAH__a600e9191d_001"",""pt_mtr_TKL_UT_HAH__0f0c38b5ff_005""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
52,POA,Po Lam,TKL,True,False,True,2,"[""pt_mtr_TKL_DT_POA__a600e9191d_000"",""pt_mtr_TKL_UT_POA__0f0c38b5ff_006""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
53,NAC,Nam Cheong,TCL;TML,True,False,True,5,"[""pt_mtr_TCL_DT_NAC__ec6070b94b_004"",""pt_mtr_TCL_SHORT-DT_NAC__2f5f5b71df_003"",""pt_mtr_TCL_UT_NAC__46732d33f8_003"",""pt_mtr_TML_DT_NAC__b4d6b9d7a8_008"",""pt_mtr_TML_UT_NAC__5c2c425eca_018""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
54,SUN,Sunny Bay,DRL;TCL,True,False,True,5,"[""pt_mtr_DRL_DT_SUN__306c6d28d9_000"",""pt_mtr_DRL_UT_SUN__7bbf7a236c_001"",""pt_mtr_TCL_DT_SUN__ec6070b94b_001"",""pt_mtr_TCL_SHORT-DT_SUN__2f5f5b71df_000"",""pt_mtr_TCL_UT_SUN__46732d33f8_006""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
55,DIS,Disneyland Resort,DRL,True,False,True,2,"[""pt_mtr_DRL_DT_DIS__306c6d28d9_001"",""pt_mtr_DRL_UT_DIS__7bbf7a236c_000""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
56,AWE,AsiaWorld-Expo,AEL,False,True,True,2,"[""pt_mtr_AEL_DT_AWE__b341ab44f2_000"",""pt_mtr_AEL_UT_AWE__8167283ba6_004""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
57,LHP,LOHAS Park,TKL,True,False,True,4,"[""pt_mtr_TKL_LHP-DT_LHP__a7f3b8b24d_000"",""pt_mtr_TKL_LHP-UT_LHP__3a6a230269_005"",""pt_mtr_TKL_TKS-DT_LHP__b1f62200fd_000"",""pt_mtr_TKL_TKS-UT_LHP__ca12f418e7_002""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
64,HUH,Hung Hom,EAL;TML,True,False,True,6,"[""pt_mtr_EAL_DT_HUH__74bbc524be_011"",""pt_mtr_EAL_LMC-DT_HUH__c03756a6ed_011"",""pt_mtr_EAL_LMC-UT_HUH__04ae606b2a_002"",""pt_mtr_EAL_UT_HUH__aa8bb5cea1_002"",""pt_mtr_TML_DT_HUH__b4d6b9d7a8_011"",""pt_mtr_TML_UT_HUH__5c2c425eca_015""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
65,MKK,Mong Kok East,EAL,True,False,True,4,"[""pt_mtr_EAL_DT_MKK__74bbc524be_010"",""pt_mtr_EAL_LMC-DT_MKK__c03756a6ed_010"",""pt_mtr_EAL_LMC-UT_MKK__04ae606b2a_003"",""pt_mtr_EAL_UT_MKK__aa8bb5cea1_003""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
67,TAW,Tai Wai,EAL;TML,True,False,True,6,"[""pt_mtr_EAL_DT_TAW__74bbc524be_008"",""pt_mtr_EAL_LMC-DT_TAW__c03756a6ed_008"",""pt_mtr_EAL_LMC-UT_TAW__04ae606b2a_005"",""pt_mtr_EAL_UT_TAW__aa8bb5cea1_005"",""pt_mtr_TML_DT_TAW__b4d6b9d7a8_018"",""pt_mtr_TML_UT_TAW__5c2c425eca_008""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
68,SHT,Sha Tin,EAL,True,False,True,4,"[""pt_mtr_EAL_DT_SHT__74bbc524be_007"",""pt_mtr_EAL_LMC-DT_SHT__c03756a6ed_007"",""pt_mtr_EAL_LMC-UT_SHT__04ae606b2a_006"",""pt_mtr_EAL_UT_SHT__aa8bb5cea1_006""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
69,FOT,Fo Tan,EAL,True,False,True,4,"[""pt_mtr_EAL_DT_FOT__74bbc524be_006"",""pt_mtr_EAL_LMC-DT_FOT__c03756a6ed_006"",""pt_mtr_EAL_LMC-UT_FOT__04ae606b2a_007"",""pt_mtr_EAL_UT_FOT__aa8bb5cea1_007""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
70,,Racecourse,,True,False,False,0,[],unresolved,U,no_fuzzy_name_or_coordinate_fallback,mtr_domestic_fares,official_station_id_missing_station_code
71,UNI,University,EAL,True,False,True,4,"[""pt_mtr_EAL_DT_UNI__74bbc524be_005"",""pt_mtr_EAL_LMC-DT_UNI__c03756a6ed_005"",""pt_mtr_EAL_LMC-UT_UNI__04ae606b2a_008"",""pt_mtr_EAL_UT_UNI__aa8bb5cea1_008""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
