station_id,station_code,station_name_en,line_codes,in_domestic_fare_matrix,in_airport_express_fare_matrix,in_schedule,schedule_facility_count,schedule_facility_ids_json,mapping_status,mapping_quality,matching_method,source_id,unresolved_reason
94,EXC,Exhibition Centre,EAL,True,False,True,4,"[""pt_mtr_EAL_DT_EXC__74bbc524be_012"",""pt_mtr_EAL_LMC-DT_EXC__c03756a6ed_012"",""pt_mtr_EAL_LMC-UT_EXC__04ae606b2a_001"",""pt_mtr_EAL_UT_EXC__aa8bb5cea1_001""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
96,CKT,Che Kung Temple,TML,True,False,True,2,"[""pt_mtr_TML_DT_CKT__b4d6b9d7a8_019"",""pt_mtr_TML_UT_CKT__5c2c425eca_007""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
97,STW,Sha Tin Wai,TML,True,False,True,2,"[""pt_mtr_TML_DT_STW__b4d6b9d7a8_020"",""pt_mtr_TML_UT_STW__5c2c425eca_006""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
98,CIO,City One,TML,True,False,True,2,"[""pt_mtr_TML_DT_CIO__b4d6b9d7a8_021"",""pt_mtr_TML_UT_CIO__5c2c425eca_005""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
99,SHM,Shek Mun,TML,True,False,True,2,"[""pt_mtr_TML_DT_SHM__b4d6b9d7a8_022"",""pt_mtr_TML_UT_SHM__5c2c425eca_004""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
100,TSH,Tai Shui Hang,TML,True,False,True,2,"[""pt_mtr_TML_DT_TSH__b4d6b9d7a8_023"",""pt_mtr_TML_UT_TSH__5c2c425eca_003""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
101,HEO,Heng On,TML,True,False,True,2,"[""pt_mtr_TML_DT_HEO__b4d6b9d7a8_024"",""pt_mtr_TML_UT_HEO__5c2c425eca_002""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
102,MOS,Ma On Shan,TML,True,False,True,2,"[""pt_mtr_TML_DT_MOS__b4d6b9d7a8_025"",""pt_mtr_TML_UT_MOS__5c2c425eca_001""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
103,WKS,Wu Kai Sha,TML,True,False,True,2,"[""pt_mtr_TML_DT_WKS__b4d6b9d7a8_026"",""pt_mtr_TML_UT_WKS__5c2c425eca_000""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
111,AUS,Austin,TML,True,False,True,2,"[""pt_mtr_TML_DT_AUS__b4d6b9d7a8_009"",""pt_mtr_TML_UT_AUS__5c2c425eca_017""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
114,TWW,Tsuen Wan West,TML,True,False,True,2,"[""pt_mtr_TML_DT_TWW__b4d6b9d7a8_006"",""pt_mtr_TML_UT_TWW__5c2c425eca_020""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
115,KSR,Kam Sheung Road,TML,True,False,True,2,"[""pt_mtr_TML_DT_KSR__b4d6b9d7a8_005"",""pt_mtr_TML_UT_KSR__5c2c425eca_021""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
116,YUL,Yuen Long,TML,True,False,True,2,"[""pt_mtr_TML_DT_YUL__b4d6b9d7a8_004"",""pt_mtr_TML_UT_YUL__5c2c425eca_022""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
117,LOP,Long Ping,TML,True,False,True,2,"[""pt_mtr_TML_DT_LOP__b4d6b9d7a8_003"",""pt_mtr_TML_UT_LOP__5c2c425eca_023""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
118,TIS,Tin Shui Wai,TML,True,False,True,2,"[""pt_mtr_TML_DT_TIS__b4d6b9d7a8_002"",""pt_mtr_TML_UT_TIS__5c2c425eca_024""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
119,SIH,Siu Hong,TML,True,False,True,2,"[""pt_mtr_TML_DT_SIH__b4d6b9d7a8_001"",""pt_mtr_TML_UT_SIH__5c2c425eca_025""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
120,TUM,Tuen Mun,TML,True,False,True,2,"[""pt_mtr_TML_DT_TUM__b4d6b9d7a8_000"",""pt_mtr_TML_UT_TUM__5c2c425eca_026""]",exact,A,exact_official_line_code_and_station_code_tokens,mtr_line_station_patterns,
