destination_tcs_zone,scenario,private_car_legs,complete_cost_legs,complete_cost_share,total_resolved_marginal_cost_hkd,mean_hkd,median_hkd,p90_hkd
-1,low,103,0,0.0,4663.305565368378,45.2748113142561,38.19403297130299,95.55489290034411
1,low,3277,3262,0.9954226426609704,136538.77278592048,41.66578357824854,36.976031279729774,79.11042309565977
2,low,3892,3882,0.9974306269270298,168381.5479126042,43.26350151916861,43.65467144513456,77.22013269832814
3,low,4438,4426,0.9972960793150067,154942.30588117594,34.91264215438845,28.345392875567207,69.9305586906131
4,low,3302,3295,0.9978800726832223,128169.42755573831,38.815695807310206,31.99528133206624,75.7395192441107
5,low,3045,3036,0.9970443349753695,134507.96164651593,44.17338641921705,44.92586014872975,69.9147036687018
6,low,1866,1858,0.9957127545551983,82960.452089392,44.45897753986709,44.06839319972596,70.89620610172177
7,low,3435,3421,0.995924308588064,129848.77808488203,37.8016821207808,37.515980915278405,67.87587346118018
8,low,3917,3905,0.9969364309420475,124227.09656773688,31.714857433683147,27.24621919815009,63.01731167160566
9,low,4118,4109,0.9978144730451676,140694.36629815307,34.165703326409194,30.494552301082155,64.52395245514064
10,low,1756,1754,0.9988610478359908,60358.08791977099,34.37248742583769,32.5451181625205,64.04934321435911
11,low,2409,2407,0.9991697799916978,103293.4621899419,42.878149518448275,40.9733092409776,71.73668782492712
12,low,1680,1676,0.9976190476190476,69869.68760039506,41.58909976213992,40.135123539765345,69.52112480806585
13,low,848,846,0.9976415094339622,32397.06351454245,38.20408433318685,35.00143693978549,68.03888571938376
14,low,4016,4004,0.9970119521912351,153637.72764058452,38.25640628500611,36.05435798272644,71.11691869267125
15,low,2472,2465,0.997168284789644,88800.13909036346,35.92238636341564,33.75575029557422,62.4782373579606
16,low,1423,1420,0.9978917779339423,58666.11248120533,41.227064287565234,37.792956596997506,78.36348710399963
17,low,2411,2409,0.9991704686851929,95054.23399958899,39.42523185383202,38.335463369315875,64.91871328031164
18,low,1753,1748,0.9971477467199087,73979.26976515411,42.20152296928357,44.14402453909598,69.5863007583809
19,low,3763,3758,0.9986712729205421,129217.41943110785,34.33893686715595,32.114928747515386,57.90565452199083
20,low,1552,1550,0.9987113402061856,60787.75887899815,39.167370411725614,36.116445022443116,63.995284009678585
21,low,2719,2714,0.9981610886355278,96439.44494325542,35.468718257909316,30.79339137461477,62.52302001047707
22,low,715,711,0.9944055944055944,36723.10024325403,51.36097936119445,52.084206482783806,82.45777931192356
23,low,2785,2778,0.9974865350089767,107693.93031946226,38.66927480052505,36.505873872722674,70.08983525954868
24,low,1306,1303,0.9977029096477795,62543.28405253626,47.889191464422865,47.0815236040372,80.98545830441844
25,low,1245,1243,0.9983935742971888,48927.915336207385,39.29953039052802,34.03635646589187,71.3262976110576
26,low,543,542,0.998158379373849,34401.70851005316,63.35489596694873,63.45099979447162,96.60627473804286
-1,base,103,0,0.0,6580.3418193891775,63.88681378047745,53.89520135216367,134.83651220906378
1,base,3277,3262,0.9954226426609704,276085.20076774945,84.24937466211458,67.62400435625389,225.948726992062
2,base,3892,3882,0.9974306269270298,318376.9613806972,81.80291916256351,69.80601211574069,159.2627659353395
3,base,4438,4426,0.9972960793150067,390635.37770317437,88.02058983848003,57.53288254904599,241.53341812443304
4,base,3302,3295,0.9978800726832223,430375.68874938734,130.33788272240682,90.95281916341753,274.4327238317704
5,base,3045,3036,0.9970443349753695,244325.2356876468,80.23817263962128,71.24407421553533,171.7327634921964
6,base,1866,1858,0.9957127545551983,144073.40767410962,77.20975759598586,67.0353313981329,129.91573297083883
7,base,3435,3421,0.995924308588064,277970.08650306606,80.92287816683147,65.27549614374965,189.79704042493643
8,base,3917,3905,0.9969364309420475,286662.3820374459,73.1841669740735,55.726461718308315,187.07545418334965
9,base,4118,4109,0.9978144730451676,315010.5020103316,76.49599368876436,56.22219572147096,190.53968074286612
10,base,1756,1754,0.9988610478359908,140039.4175647979,79.74909884100109,62.696711430856254,187.6552568653993
11,base,2409,2407,0.9991697799916978,166869.27132711717,69.26910391329065,62.857292123723646,111.80388115895923
12,base,1680,1676,0.9976190476190476,122273.42014586317,72.78179770587093,63.215461745882145,119.77989590083668
13,base,848,846,0.9976415094339622,57809.27973814859,68.17132044592994,52.63789062503612,120.7304286691945
14,base,4016,4004,0.9970119521912351,257330.0475057977,64.07620704825639,56.85288748475412,125.00454893839569
15,base,2472,2465,0.997168284789644,140804.29432002004,56.959665987063126,52.239648796716054,96.06209369802177
16,base,1423,1420,0.9978917779339423,92672.86293150962,65.12499151898076,56.671169054774055,126.6024458952392
17,base,2411,2409,0.9991704686851929,172862.212725342,71.69730930126171,61.25456148451365,143.56523415350887
18,base,1753,1748,0.9971477467199087,127110.64604993213,72.51035142608792,69.16842760332081,132.74706161510505
19,base,3763,3758,0.9986712729205421,212412.72105143365,56.44770689647453,49.79873920198421,99.37942515571497
20,base,1552,1550,0.9987113402061856,99074.24856203527,63.83650036213613,54.39900571516743,111.93149144073126
21,base,2719,2714,0.9981610886355278,164150.6854786053,60.37171220250287,46.1496860160246,118.3980996354577
