toll_facility_id,toll_facility_name,vehicle_class,rule_type,day_of_week_code,start_time_s,end_time_s,toll_hkd,feature_ids,effective_date,hketoll,source_url,source_file,file_sha256,cost_quality
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,27960,28079,38.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,28080,36899,40.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,36900,37019,38.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,37020,37139,36.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,37140,37259,34.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,37260,37379,32.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,37380,59399,30.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,59400,59519,32.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,59520,59639,34.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
cross_harbour_tunnel,Cross Harbour Tunnel,private_car,time_varying,A,59640,59759,36.0,150338|150339,2026-07-17,True,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,F:/Matsim/matsim-example-project/data/transit/hongkong/RdNet_IRNP.gdb|source_snapshots/td_harbour_tvt.html,2b01ceaa2fc1d9683162142940802e278318a2bda9a2bb40660649ef6f0ca943|847c1ee17e41751c63099e349c9839aa2fbaf34d3242d99afeb21ae4328670fe,official_machine_readable_private_car_rule
