scenario,activity_purpose,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
base,visitor_primary_activity,2468.0,49360.0,314669.10000000003,6293382.000000001,127.49963533225285,83.6,31.1,37.4,240.04999999999998,266.3,291.5,0.08103727714748785,0.0,0.42706645056726095,0.0,1.0
base,visitor_primary_activity>secondary_activity,7104.0,142080.0,615315.1000000001,12306302.000000002,86.61530123873875,58.4,29.0,29.0,109.5,224.3,253.7,0.2749155405405405,0.0,0.11317567567567567,0.0,1.0
base,work,3690.0,73800.0,533997.0,10679940.0,144.71463414634147,126.3,54.2,89.9,179.5,270.5,315.84999999999974,0.01924119241192412,0.0,0.061788617886178863,0.0,1.0
high,dining,2942.0,58840.0,326526.4,6530528.0,110.98789938817131,105.3,31.1,60.5,141.7,197.7,245.22999999999976,0.08837525492861999,0.0,0.004758667573079538,0.0,1.0
high,dining>dining,222.0,4440.0,24040.199999999997,480803.99999999994,108.28918918918917,93.05,33.11,52.1,138.2,203.16000000000003,246.62999999999997,0.09009009009009009,0.0,0.02702702702702703,0.0,1.0
high,dining>leisure,759.0,15180.0,87692.6,1753852.0,115.53702239789197,108.1,31.1,64.7,155.0,207.5,237.04000000000005,0.08695652173913043,0.0,0.02766798418972332,0.0,1.0
high,dining>medical,174.0,3480.0,20232.1,404642.0,116.27643678160919,106.7,33.13,62.6,150.1,203.3,252.79,0.07471264367816093,0.0,0.034482758620689655,0.0,1.0
high,dining>personal_business,282.0,5640.0,30961.6,619232.0,109.79290780141844,106.7,31.1,60.5,139.65,196.02000000000004,236.75999999999996,0.0851063829787234,0.0,0.010638297872340425,0.0,1.0
high,dining>shopping,942.0,18840.0,105316.29999999999,2106326.0,111.80074309978767,105.3,35.3,66.8,138.9,194.75999999999996,252.3,0.07537154989384288,0.0,0.044585987261146494,0.0,1.0
high,dining>social,402.0,8040.0,45429.2,908584.0,113.00796019900497,108.1,35.3,62.6,143.85,190.20000000000005,248.1,0.07711442786069651,0.0,0.04477611940298507,0.0,1.0
