scenario,origin_tcs_zone,destination_tcs_zone,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
low,11,11,179.0,3580.0,9674.5,193490.0,54.047486033519554,37.4,29.0,29.0,79.4,105.58000000000003,112.43999999999998,0.3743016759776536,0.0,0.0111731843575419,0.0,1.0
low,11,12,83.0,1660.0,4945.199999999999,98903.99999999997,59.58072289156625,45.8,31.520000000000003,39.5,64.7,117.05999999999999,126.3,0.07228915662650602,0.0,0.0,0.0,1.0
low,11,13,50.0,1000.0,3234.2999999999997,64685.99999999999,64.68599999999999,62.6,41.39,50.0,75.2,98.3,102.5,0.04,0.0,0.0,0.0,1.0
low,11,14,36.0,720.0,6162.400000000001,123248.00000000001,171.1777777777778,177.39999999999998,137.5,160.60000000000002,186.5,191.39999999999998,197.7,0.0,0.0,0.0,0.0,1.0
low,11,15,26.0,520.0,4371.599999999999,87431.99999999999,168.1384615384615,166.2,159.9,162.7,174.95000000000002,178.8,179.5,0.0,0.0,0.0,0.0,1.0
low,11,16,14.0,280.0,2714.6000000000004,54292.00000000001,193.90000000000003,191.39999999999998,181.74,186.85,199.8,206.8,212.32999999999998,0.0,0.0,0.0,0.0,1.0
low,11,17,23.0,460.0,4500.9,90018.0,195.69130434782608,189.3,181.18,183.7,194.2,223.46,229.62,0.0,0.0,0.0,0.0,1.0
low,11,18,17.0,340.0,4067.8999999999996,81358.0,239.2882352941176,239.7,223.74,229.9,243.9,247.82,258.73999999999995,0.0,0.0,0.0,0.0,1.0
low,11,19,72.0,1440.0,8814.300000000001,176286.00000000003,122.42083333333335,114.4,102.64,105.3,130.5,156.67999999999998,180.76000000000002,0.0,0.0,0.0,0.0,1.0
low,11,20,8.0,160.0,1283.3999999999999,25667.999999999996,160.42499999999998,161.3,155.7,156.75,163.04999999999998,164.51999999999998,165.01,0.0,0.0,0.0,0.0,1.0
low,11,21,20.0,400.0,4116.4,82328.0,205.82,205.39999999999998,193.22,199.1,207.5,214.64000000000001,229.97000000000003,0.0,0.0,0.0,0.0,1.0
low,11,22,7.0,140.0,1556.1,31122.0,222.29999999999998,210.3,197.14,208.2,220.8,255.38000000000005,279.73999999999995,0.0,0.0,1.0,0.0,1.0
low,11,23,18.0,360.0,3133.0,62660.0,174.05555555555554,171.8,152.62,158.85,184.75,200.78,207.00999999999996,0.0,0.0,0.0,0.0,1.0
low,11,24,10.0,200.0,2552.4,51048.0,255.24,250.2,221.08,237.95,267.7,313.06,315.58,0.0,0.0,0.0,0.0,1.0
low,11,25,3.0,60.0,574.9,11498.0,191.63333333333333,215.9,81.5,131.9,263.5,292.06,301.58000000000004,0.0,0.0,0.0,0.0,1.0
low,11,26,25.0,500.0,4775.200000000001,95504.00000000001,191.00800000000004,208.9,119.02,145.9,210.3,256.7800000000001,301.0199999999999,0.0,0.0,1.0,0.0,1.0
low,12,1,34.0,680.0,4700.2,94004.0,138.24117647058824,138.2,126.72,133.3,142.75,148.7,153.04,0.0,0.0,0.0,0.0,1.0
low,12,2,39.0,780.0,5793.7,115874.0,148.55641025641026,148.7,138.06,142.39999999999998,156.39999999999998,158.78,160.18,0.0,0.0,0.0,0.0,1.0
low,12,3,41.0,820.0,7514.9,150298.0,183.29024390243902,189.3,148.7,165.5,197.7,221.5,227.1,0.0,0.0,0.0,0.0,1.0
low,12,4,18.0,360.0,3644.0,72880.0,202.44444444444446,190.7,167.18,178.1,228.15,247.96,253.83999999999997,0.0,0.0,0.0,0.0,1.0
low,12,5,84.0,1680.0,9255.4,185108.0,110.18333333333332,114.4,92.0,102.5,119.3,122.1,124.9,0.0,0.0,0.03571428571428571,0.0,1.0
low,12,6,40.0,800.0,3788.5,75770.0,94.7125,97.25,79.4,87.8,103.9,106.7,106.77,0.0,0.0,0.0,0.0,1.0
low,12,7,103.0,2060.0,8269.9,165398.0,80.29029126213592,79.4,60.5,71.0,95.15,98.3,100.4,0.0,0.0,0.02912621359223301,0.0,1.0
low,12,8,35.0,700.0,4163.599999999999,83271.99999999999,118.95999999999998,117.9,104.74,111.6,123.5,136.38,142.82,0.0,0.0,0.02857142857142857,0.0,1.0
low,12,9,28.0,560.0,4356.8,87136.0,155.6,152.9,139.88000000000002,147.64999999999998,167.25,178.1,179.01,0.0,0.0,0.0,0.0,1.0
low,12,10,36.0,720.0,4347.3,86946.0,120.75833333333334,120.0,108.8,114.39999999999999,127.7,133.3,139.6,0.0,0.0,0.0,0.0,1.0
low,12,11,90.0,1800.0,4651.2,93024.0,51.68,42.650000000000006,29.0,35.3,56.3,104.18000000000004,118.67,0.1111111111111111,0.0,0.011111111111111112,0.0,1.0
low,12,12,115.0,2300.0,4562.8,91256.0,39.676521739130436,35.3,29.0,29.0,43.7,52.1,60.91999999999997,0.3217391304347826,0.0,0.017391304347826087,0.0,1.0
low,12,13,27.0,540.0,1823.8999999999999,36478.0,67.55185185185185,62.6,50.0,53.150000000000006,74.15,91.58000000000004,109.71,0.0,0.0,0.0,0.0,1.0
low,12,14,20.0,400.0,3959.6000000000004,79192.0,197.98000000000002,195.60000000000002,190.0,193.5,204.70000000000002,210.72000000000003,214.85,0.0,0.0,0.05,0.0,1.0
