scenario,person_id,taxi_legs_5pct,daily_total_fare_hkd_5pct,expanded_daily_total_fare_hkd
low,hk_person_00003977,3,319.4,6388.0
low,hk_person_00005552,2,83.2,1664.0
low,hk_person_00006327,3,300.5,6010.0
low,hk_person_00007321,2,177.7,3554.0
low,hk_person_00007946,2,186.10000000000002,3722.0000000000005
low,hk_person_00008328,2,605.4,12108.0
low,hk_person_00008522,2,95.8,1916.0
low,hk_person_00008538,2,85.30000000000001,1706.0000000000002
low,hk_person_00008539,2,160.9,3218.0
low,hk_person_00008826,3,225.60000000000002,4512.0
low,hk_person_00010457,3,150.0,3000.0
low,hk_person_00010458,3,281.6,5632.0
low,hk_person_00010652,2,209.2,4184.0
low,hk_person_00010876,2,173.5,3470.0
low,hk_person_00011612,2,154.6,3092.0
low,hk_person_00011693,2,58.0,1160.0
low,hk_person_00011981,2,251.2,5024.0
low,hk_person_00012102,2,266.6,5332.0
low,hk_person_00012411,2,258.2,5164.0
low,hk_person_00012941,2,226.0,4520.0
low,hk_person_00013201,3,292.8,5856.0
low,hk_person_00013397,2,287.6,5752.0
low,hk_person_00013398,3,133.2,2664.0
low,hk_person_00013490,3,329.2,6584.0
low,hk_person_00013563,3,399.20000000000005,7984.000000000001
low,hk_person_00014082,2,58.0,1160.0
low,hk_person_00014289,2,287.6,5752.0
low,hk_person_00014647,3,158.4,3168.0
low,hk_person_00015307,2,284.79999999999995,5695.999999999999
low,hk_person_00015446,3,313.1,6262.0
low,hk_person_00016581,2,139.9,2798.0
low,hk_person_00016696,3,343.9,6878.0
low,hk_person_00017308,3,343.9,6878.0
low,hk_person_00017773,3,383.8,7676.0
low,hk_person_00017774,2,156.7,3134.0
low,hk_person_00017799,3,225.60000000000002,4512.0
low,hk_person_00017814,2,308.6,6172.0
low,hk_person_00019041,3,281.6,5632.0
low,hk_person_00020550,4,401.6,8032.0
low,hk_person_00020698,3,275.3,5506.0
low,hk_person_00021856,2,223.2,4464.0
low,hk_person_00021877,2,227.4,4548.0
low,hk_person_00021893,2,252.6,5052.0
low,hk_person_00022070,3,388.0,7760.0
low,hk_person_00023068,3,206.7,4134.0
low,hk_person_00023069,3,250.8,5016.0
low,hk_person_00023653,2,81.1,1622.0
low,hk_person_00023741,2,190.3,3806.0
low,hk_person_00024058,2,100.0,2000.0
low,hk_person_00024191,2,156.7,3134.0
low,hk_person_00024199,3,529.4,10588.0
low,hk_person_00024526,2,70.6,1412.0
low,hk_person_00024614,3,225.6,4512.0
low,hk_person_00025547,2,549.4,10988.0
low,hk_person_00025587,3,628.8,12576.0
low,hk_person_00025760,2,301.6,6032.0
low,hk_person_00026624,3,189.89999999999998,3797.9999999999995
low,hk_person_00026830,3,429.3,8586.0
low,hk_person_00026845,2,165.10000000000002,3302.0000000000005
low,hk_person_00026978,2,346.4,6928.0
low,hk_person_00027501,2,58.0,1160.0
low,hk_person_00027614,2,240.0,4800.0
low,hk_person_00027964,2,58.0,1160.0
low,hk_person_00028087,3,294.20000000000005,5884.000000000001
low,hk_person_00028245,2,118.9,2378.0
low,hk_person_00028560,2,184.0,3680.0
low,hk_person_00029970,2,58.0,1160.0
low,hk_person_00030059,2,91.6,1832.0
low,hk_person_00030773,3,373.3,7466.0
low,hk_person_00031015,2,79.0,1580.0
low,hk_person_00031095,3,628.0999999999999,12561.999999999998
low,hk_person_00031301,3,264.8,5296.0
low,hk_person_00031504,3,354.4,7088.0
low,hk_person_00031525,2,181.9,3638.0
low,hk_person_00032269,3,91.2,1824.0
low,hk_person_00032271,2,135.7,2714.0
low,hk_person_00032284,3,181.5,3630.0
low,hk_person_00032286,2,102.1,2042.0
low,hk_person_00032473,2,188.2,3764.0
low,hk_person_00032521,2,167.2,3344.0
low,hk_person_00033389,3,335.5,6710.0
low,hk_person_00033700,2,181.9,3638.0
low,hk_person_00034010,3,185.7,3714.0
low,hk_person_00034026,2,343.6,6872.0
low,hk_person_00034276,3,441.90000000000003,8838.0
low,hk_person_00034569,2,216.2,4324.0
low,hk_person_00035294,3,281.6,5632.0
low,hk_person_00035343,2,72.7,1454.0
low,hk_person_00035456,5,514.6,10292.0
low,hk_person_00036659,2,188.2,3764.0
low,hk_person_00036867,2,66.4,1328.0
low,hk_person_00036908,3,187.8,3756.0
low,hk_person_00037129,2,238.60000000000002,4772.0
low,hk_person_00037852,2,297.4,5948.0
low,hk_person_00038517,2,171.4,3428.0
low,hk_person_00038651,3,330.6,6612.0
low,hk_person_00038751,3,695.3,13906.0
low,hk_person_00039176,2,290.4,5808.0
low,hk_person_00039489,2,108.4,2168.0
low,hk_person_00039514,3,528.7,10574.0
low,hk_person_00040105,2,209.9,4198.0
low,hk_person_00040109,3,458.0,9160.0
low,hk_person_00040320,3,242.4,4848.0
low,hk_person_00040822,2,483.6,9672.0
low,hk_person_00040983,3,93.3,1866.0
low,hk_person_00041442,2,62.2,1244.0
low,hk_person_00041444,3,219.3,4386.0
low,hk_person_00042713,2,175.60000000000002,3512.0000000000005
low,hk_person_00042743,2,464.0,9280.0
low,hk_person_00042989,2,173.5,3470.0
low,hk_person_00042998,2,220.4,4408.0
low,hk_person_00043760,5,552.4,11048.0
low,hk_person_00043761,2,167.2,3344.0
low,hk_person_00043857,3,359.3,7186.0
low,hk_person_00044259,2,142.0,2840.0
low,hk_person_00045019,3,213.0,4260.0
low,hk_person_00045761,2,261.0,5220.0
low,hk_person_00045896,3,112.2,2244.0
low,hk_person_00046854,3,217.2,4344.0
low,hk_person_00047549,3,261.3,5226.0
low,hk_person_00048459,2,307.2,6144.0
low,hk_person_00049403,2,335.2,6704.0
low,hk_person_00049799,2,221.8,4436.0
low,hk_person_00050429,2,85.30000000000001,1706.0000000000002
low,hk_person_00050432,2,263.79999999999995,5275.999999999999
low,hk_person_00050906,2,139.9,2798.0
low,hk_person_00051033,2,322.6,6452.0
low,hk_person_00052426,2,451.4,9028.0
low,hk_person_00052431,3,674.3,13486.0
low,hk_person_00052627,3,379.6,7592.0
low,hk_person_00052700,2,68.5,1370.0
low,hk_person_00053755,2,223.2,4464.0
low,hk_person_00053756,2,58.0,1160.0
low,hk_person_00053869,2,118.9,2378.0
low,hk_person_00055115,2,200.8,4016.0
low,hk_person_00055643,2,192.4,3848.0
low,hk_person_00055794,3,545.5,10910.0
low,hk_person_00055837,2,262.4,5248.0
low,hk_person_00055839,2,123.1,2462.0
low,hk_person_00057224,2,196.60000000000002,3932.0000000000005
low,hk_person_00057300,2,479.4,9588.0
low,hk_person_00057866,2,322.6,6452.0
low,hk_person_00059364,2,58.0,1160.0
low,hk_person_00060075,2,137.8,2756.0
low,hk_person_00060599,2,200.8,4016.0
low,hk_person_00061082,3,336.2,6724.0
low,hk_person_00061085,3,269.7,5394.0
low,hk_person_00061267,2,284.79999999999995,5695.999999999999
low,hk_person_00061561,2,228.8,4576.0
low,hk_person_00061564,2,165.10000000000002,3302.0000000000005
low,hk_person_00061628,3,271.1,5422.0
low,hk_person_00061919,2,328.2,6564.0
low,hk_person_00062436,2,89.5,1790.0
low,hk_person_00063398,2,186.1,3722.0
low,hk_person_00063804,3,273.9,5478.0
low,hk_person_00063818,3,196.2,3924.0
low,hk_person_00064117,3,387.3,7746.0
low,hk_person_00064194,2,100.0,2000.0
low,hk_person_00064613,2,58.0,1160.0
low,hk_person_00064941,3,258.5,5170.0
low,hk_person_00066042,2,158.8,3176.0
low,hk_person_00066309,2,154.6,3092.0
low,hk_person_00067089,2,259.6,5192.0
low,hk_person_00067285,3,236.1,4722.0
low,hk_person_00068478,2,242.8,4856.0
low,hk_person_00068729,2,194.5,3890.0
low,hk_person_00069108,2,192.39999999999998,3847.9999999999995
low,hk_person_00069245,3,87.0,1740.0
low,hk_person_00070125,2,336.6,6732.0
low,hk_person_00070637,3,227.7,4554.0
low,hk_person_00070638,2,125.2,2504.0
low,hk_person_00071388,2,135.7,2714.0
low,hk_person_00071764,2,251.2,5024.0
low,hk_person_00071773,2,209.2,4184.0
low,hk_person_00072403,2,181.89999999999998,3637.9999999999995
low,hk_person_00073134,2,148.3,2966.0
low,hk_person_00073293,3,244.5,4890.0
low,hk_person_00073360,2,373.0,7460.0
low,hk_person_00073816,2,283.4,5668.0
low,hk_person_00073895,2,391.20000000000005,7824.000000000001
low,hk_person_00074041,3,338.3,6766.0
low,hk_person_00074042,2,112.6,2252.0
low,hk_person_00074815,2,64.3,1286.0
low,hk_person_00074816,3,306.79999999999995,6135.999999999999
low,hk_person_00074843,3,577.0,11540.0
low,hk_person_00074846,3,397.1,7942.0
low,hk_person_00076824,3,187.8,3756.0
low,hk_person_00076840,3,194.10000000000002,3882.0000000000005
low,hk_person_00077008,2,461.20000000000005,9224.0
low,hk_person_00077465,2,198.7,3974.0
low,hk_person_00078092,2,237.2,4744.0
low,hk_person_00078100,2,152.5,3050.0
low,hk_person_00078113,2,209.9,4198.0
low,hk_person_00079072,2,154.60000000000002,3092.0000000000005
low,hk_person_00079351,2,131.5,2630.0
low,hk_person_00079563,3,376.1,7522.0
low,hk_person_00079567,2,150.39999999999998,3007.9999999999995
low,hk_person_00079590,4,494.70000000000005,9894.0
low,hk_person_00079745,3,210.9,4218.0
low,hk_person_00079752,2,112.6,2252.0
low,hk_person_00080000,2,146.2,2924.0
low,hk_person_00080144,2,108.4,2168.0
low,hk_person_00080588,3,277.4,5548.0
low,hk_person_00081264,3,581.9,11638.0
low,hk_person_00081655,3,797.5,15950.0
low,hk_person_00081759,3,189.9,3798.0
low,hk_person_00081983,3,258.5,5170.0
low,hk_person_00082561,2,87.4,1748.0
low,hk_person_00082842,2,186.10000000000002,3722.0000000000005
low,hk_person_00082857,2,245.6,4912.0
low,hk_person_00083416,3,443.3,8866.0
low,hk_person_00083417,2,319.8,6396.0
low,hk_person_00083907,2,198.7,3974.0
low,hk_person_00084110,2,186.1,3722.0
low,hk_person_00084112,2,165.10000000000002,3302.0000000000005
low,hk_person_00084227,2,158.8,3176.0
low,hk_person_00084271,2,312.79999999999995,6255.999999999999
low,hk_person_00084275,3,360.0,7200.0
low,hk_person_00084387,2,228.8,4576.0
low,hk_person_00085400,2,287.6,5752.0
low,hk_person_00085567,3,413.9,8278.0
low,hk_person_00085968,2,171.39999999999998,3427.9999999999995
low,hk_person_00086371,2,58.0,1160.0
low,hk_person_00086580,3,379.6,7592.0
low,hk_person_00086731,2,402.4,8048.0
low,hk_person_00087105,3,265.5,5310.0
low,hk_person_00087702,2,175.60000000000002,3512.0000000000005
low,hk_person_00088034,3,280.2,5604.0
low,hk_person_00088143,2,181.9,3638.0
low,hk_person_00088208,2,137.8,2756.0
low,hk_person_00088344,2,200.8,4016.0
low,hk_person_00088386,2,146.2,2924.0
low,hk_person_00088749,2,146.2,2924.0
low,hk_person_00088880,2,104.2,2084.0
low,hk_person_00088898,2,160.9,3218.0
low,hk_person_00089476,2,212.0,4240.0
low,hk_person_00090014,2,169.3,3386.0
low,hk_person_00090081,2,273.6,5472.0
low,hk_person_00090205,2,522.8,10456.0
low,hk_person_00091559,3,348.1,6962.0
