line_id,line_name,line_type,company,start_stop,end_stop,start_time,end_time,status,direction_pair_line_id,distance,basic_price,total_price,bounds,stop_count,has_polyline,timedesc,timedesc_parseable,source_stop_ids
3.501E+11,1路(西门--白湖亭),普通公交,福州公交集团,西门,白湖亭,500,2300,1,3.501E+11,10.709,1,1,"119.288719,26.024262;119.336446,26.087095",22,TRUE,"""""",FALSE,BV09020981;BV09180217;BV09188578;BV09365533;BV10208388;BV10208394;BV10208395;BV10208397;BV10208398;BV10208401;BV10208403;BV10208406;BV10208409;BV10208410;BV10209140;BV10808814;BV10809101;BV10886689;BV10902716;BV10906644;BV10906645;BV10965141
3.501E+11,1路(则徐大道盖山路口--西门),普通公交,福州公交集团,则徐大道盖山路口,西门,500,2300,1,3.501E+11,10.812,1,1,"119.288719,26.027313;119.333964,26.092513",22,TRUE,"""""",FALSE,BV09020981;BV09188578;BV09365533;BV10208388;BV10208394;BV10208395;BV10208397;BV10208398;BV10208401;BV10208403;BV10208409;BV10208418;BV10208419;BV10208420;BV10606654;BV10808814;BV10809101;BV10886756;BV10902716;BV10906644;BV10906645;BV10965141
3.501E+11,2路(火车站北广场--公交海峡国际会展中心西站),普通公交,福州公交集团,火车站北广场,公交海峡国际会展中心西站,530,2230,1,3.501E+11,17.382,1,1,"119.306534,26.029497;119.362420,26.119292",29,TRUE,"""""",FALSE,BV09020981;BV09060730;BV09183984;BV09532209;BV10208411;BV10208413;BV10208414;BV10208415;BV10208424;BV10208425;BV10208426;BV10208427;BV10208428;BV10208430;BV10208433;BV10208436;BV10208437;BV10208439;BV10208443;BV10208444;BV10208446;BV10209433;BV10209442;BV10209443;BV10596130;BV10855812;BV10886184;BV11143187;BV11198341
3.501E+11,2路(公交海峡国际会展中心西站--火车站北广场),普通公交,福州公交集团,公交海峡国际会展中心西站,火车站北广场,630,2230,1,3.501E+11,16.768,1,1,"119.306679,26.029813;119.361530,26.118305",33,TRUE,"""""",FALSE,BV09020981;BV09060730;BV09183984;BV09418258;BV10208411;BV10208413;BV10208414;BV10208416;BV10208422;BV10208424;BV10208425;BV10208426;BV10208427;BV10208429;BV10208430;BV10208433;BV10208436;BV10208437;BV10208438;BV10208439;BV10208443;BV10208444;BV10208445;BV10208446;BV10209433;BV10209442;BV10209443;BV10553038;BV10596130;BV10855812;BV10886184;BV11143187;BV11198341
3.501E+11,3路(螺洲古镇--公交苍霞站),普通公交,滕州康驰新巴士客运公司,螺洲古镇,公交苍霞站,,,1,3.501E+11,16.509,1,1,"119.303782,25.981544;119.356445,26.057059",29,TRUE,{%22rule_group%22:[{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%224%22%2C%225%22%2C%226%22%2C%227%22%2C%228%22%2C%229%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%224~9%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2221:00:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%224月至9月 06:00-21:00%22%2C%22special_case%22:%22%22}%2C{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%221%22%2C%222%22%2C%223%22%2C%2210%22%2C%2211%22%2C%2212%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%221~3%2C10~12%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2220:30:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%221月至3月/10月至12月 06:00-20:30%22%2C%22special_case%22:%22%22}]%2C%22peak_time_group%22:[]%2C%22low_time_group%22:[]%2C%22flat_time_group%22:[]%2C%22allRemark%22:%2201月01日至03月31日/10月01日至12月31日 06:00-20:30\r\n04月01日至09月30日 06:00-21:00%22},TRUE,BV09020981;BV09022449;BV09022450;BV09105369;BV09212358;BV09237813;BV09465453;BV09482294;BV10208398;BV10208450;BV10208451;BV10208453;BV10208455;BV10208459;BV10208460;BV10208461;BV10208466;BV10208467;BV10208470;BV10208573;BV10208608;BV10208610;BV10208621;BV10208622;BV10462868;BV10886756;BV11631529;BV11668044;BV11668055
3.501E+11,3路(公交苍霞站--螺洲古镇),普通公交,滕州康驰新巴士客运公司,公交苍霞站,螺洲古镇,,,1,3.501E+11,16.083,1,1,"119.302950,25.983127;119.358252,26.057016",29,TRUE,{%22rule_group%22:[{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%221%22%2C%222%22%2C%223%22%2C%2210%22%2C%2211%22%2C%2212%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%221~3%2C10~12%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2220:30:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%221月至3月/10月至12月 06:00-20:30%22%2C%22special_case%22:%22%22}%2C{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%224%22%2C%225%22%2C%226%22%2C%227%22%2C%228%22%2C%229%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%224~9%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2221:00:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%224月至9月 06:00-21:00%22%2C%22special_case%22:%22%22}]%2C%22peak_time_group%22:[]%2C%22low_time_group%22:[]%2C%22flat_time_group%22:[]%2C%22allRemark%22:%2201月01日至03月31日/10月01日至12月31日 06:00-20:30\r\n04月01日至09月30日 06:00-21:00%22},TRUE,BV09020981;BV09022449;BV09022450;BV09105369;BV09212358;BV09465453;BV09482294;BV10208398;BV10208450;BV10208451;BV10208453;BV10208455;BV10208459;BV10208460;BV10208461;BV10208466;BV10208467;BV10208470;BV10208521;BV10208573;BV10208608;BV10208610;BV10208621;BV10208622;BV10208767;BV10886689;BV11632653;BV11668044;BV11668055
3.501E+11,4路(丰泉环保集团--左海公园西门),普通公交,滕州康驰新巴士客运公司,丰泉环保集团,左海公园西门,,,1,3.501E+11,14.315,1,1,"119.281402,26.017159;119.352781,26.096956",26,TRUE,{%22rule_group%22:[{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%224%22%2C%225%22%2C%226%22%2C%227%22%2C%228%22%2C%229%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%224~9%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2221:00:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%224月至9月 06:00-21:00%22%2C%22special_case%22:%22%22}%2C{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%221%22%2C%222%22%2C%223%22%2C%2210%22%2C%2211%22%2C%2212%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%221~3%2C10~12%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2220:30:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%221月至3月/10月至12月 06:00-20:30%22%2C%22special_case%22:%22%22}]%2C%22peak_time_group%22:[]%2C%22low_time_group%22:[]%2C%22flat_time_group%22:[]%2C%22allRemark%22:%2201月01日至03月31日/10月01日至12月31日 06:00-20:30\r\n04月01日至09月30日 06:00-21:00%22},TRUE,BV09105369;BV09159959;BV09365534;BV09435035;BV09435036;BV10208459;BV10208472;BV10208473;BV10208475;BV10208476;BV10208477;BV10208478;BV10208480;BV10208482;BV10208485;BV10208489;BV10338672;BV10388519;BV10391609;BV10391612;BV10575588;BV10795981;BV10795982;BV11131758;BV11275674;BV11505711
3.501E+11,4路(左海公园西门--丰泉环保集团),普通公交,滕州康驰新巴士客运公司,左海公园西门,丰泉环保集团,,,1,3.501E+11,15.649,1,1,"119.281112,26.012969;119.352712,26.097587",26,TRUE,{%22rule_group%22:[{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%224%22%2C%225%22%2C%226%22%2C%227%22%2C%228%22%2C%229%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%224~9%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2221:00:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%224月至9月 06:00-21:00%22%2C%22special_case%22:%22%22}%2C{%22date%22:{%22day_type%22:[%22all%22]%2C%22day_month%22:[]%2C%22month%22:[%221%22%2C%222%22%2C%223%22%2C%2210%22%2C%2211%22%2C%2212%22]%2C%22day_range%22:%22%22%2C%22month_type%22:[]%2C%22day_week%22:[]%2C%22month_range%22:%221~3%2C10~12%22}%2C%22time_group%22:[{%22start_time%22:%2206:00:00%22%2C%22end_time%22:%2220:30:00%22%2C%22interval_time%22:%22%22%2C%22noon_type%22:%22%22}]%2C%22remark%22:%221月至3月/10月至12月 06:00-20:30%22%2C%22special_case%22:%22%22}]%2C%22peak_time_group%22:[]%2C%22low_time_group%22:[]%2C%22flat_time_group%22:[]%2C%22allRemark%22:%2201月01日至03月31日/10月01日至12月31日 06:00-20:30\r\n04月01日至09月30日 06:00-21:00%22},TRUE,BV09105369;BV09159959;BV09365534;BV09435035;BV09435036;BV10208459;BV10208472;BV10208473;BV10208476;BV10208477;BV10208478;BV10208480;BV10208482;BV10208489;BV10208490;BV10338672;BV10388519;BV10391609;BV10391612;BV10575588;BV10795981;BV10795982;BV10870622;BV11131758;BV11275674;BV11505711
3.501E+11,5路(金山公交总站--火车站北广场),普通公交,福州公交集团,金山公交总站,火车站北广场,555,2130,1,3.501E+11,19.723,1,1,"119.249456,26.033922;119.320156,26.118305",38,TRUE,"""""",FALSE,BV09180217;BV09476586;BV10208391;BV10208393;BV10208429;BV10208445;BV10208446;BV10208493;BV10208494;BV10208495;BV10208496;BV10208497;BV10208499;BV10208500;BV10208501;BV10208503;BV10208504;BV10208505;BV10208509;BV10208510;BV10208511;BV10208647;BV10208955;BV10208963;BV10209050;BV10209065;BV10209087;BV10209088;BV10209091;BV10209184;BV10209185;BV10209418;BV10209495;BV10454090;BV11103241;BV11143187;BV11678923;BV11678925
3.501E+11,5路(火车站北广场--金山公交总站),普通公交,福州公交集团,火车站北广场,金山公交总站,545,2200,1,3.501E+11,19.564,1,1,"119.249242,26.034019;119.323958,26.116449",41,TRUE,"""""",FALSE,BV09180217;BV09476586;BV10208391;BV10208393;BV10208428;BV10208429;BV10208493;BV10208494;BV10208495;BV10208496;BV10208497;BV10208499;BV10208500;BV10208501;BV10208503;BV10208504;BV10208505;BV10208509;BV10208510;BV10208511;BV10208513;BV10208647;BV10208955;BV10208963;BV10209050;BV10209065;BV10209087;BV10209088;BV10209091;BV10209092;BV10209184;BV10209185;BV10209197;BV10209418;BV10209495;BV10422959;BV10454090;BV11103241;BV11143187;BV11678923;BV11678925
