station_id,amap_stop_id,station_name,lon,lat,line_ids,line_names,occurrence_count
BV11506304,BV11506304,帝封江,119.33544,25.987382,900000088653;900000088654;900000090236;900000090237;900000139163;900000139164,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲);地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站);滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),6
BV10972425,BV10972425,建新,119.237864,26.064362,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10208471,BV10208471,排下,119.354008,26.001603,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV11339275,BV11339275,文岭,119.695267,25.973998,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2
BV10687401,BV10687401,斗门,119.313723,26.103973,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV11339272,BV11339272,机场,119.67529,25.92792,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2
BV10877575,BV10877575,林浦,119.365369,26.015993,900000076581;900000076583;900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲);地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),4
BV10687402,BV10687402,树兜,119.305985,26.102208,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10210915,BV10210915,桔园洲,119.242783,26.046869,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10687393,BV10687393,梁厝,119.415109,25.994261,350100020612;350100020613;900000076581;900000076583,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口);地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),4
BV11667315,BV11667315,樟岚,119.389454,26.006301,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2
BV10972422,BV10972422,横屿,119.352237,26.089831,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10210922,BV10210922,水部,119.314169,26.076428,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10877570,BV10877570,沙京,119.54656,25.930828,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2
BV10208894,BV10208894,沙堤,119.173983,26.085788,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10744868,BV10744868,洋里,119.372233,26.045254,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV11352892,BV11352892,洪塘,119.248816,26.073328,900000088653;900000088654;900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲);地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),4
BV10210916,BV10210916,洪湾,119.250071,26.047386,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10961091,BV10961091,浦上大道,119.272675,26.034091,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV09198673,BV09198673,滨海中央商务区,119.609675,25.884204,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2
BV11339281,BV11339281,滨海西,119.568892,25.907859,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2
BV11667316,BV11667316,潘墩,119.357766,26.020812,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2
BV10208407,BV10208407,白湖亭,119.335262,26.025916,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV11339278,BV11339278,盖山,119.329926,26.008613,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2
BV11505098,BV11505098,盖山竹榄,119.320584,25.993747,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV10961098,BV10961098,盘屿,119.292994,25.999391,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV10972435,BV10972435,省立医院,119.307142,26.086704,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10210919,BV10210919,祥坂,119.286022,26.060749,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV11339273,BV11339273,祥谦,119.386657,25.930472,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2
BV10604609,BV10604609,福州大学,119.20348,26.058382,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10603792,BV10603792,福州火车南站,119.391878,25.986372,350100020612;350100020613;900000088653;900000088654,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口);地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),4
BV10687408,BV10687408,福州火车站,119.318133,26.112978,350100020612;350100020613;900000139163;900000139164,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口);滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),4
BV10687406,BV10687406,秀山,119.321016,26.133785,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10972423,BV10972423,竹屿,119.337675,26.09304,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10604608,BV10604608,紫阳,119.327173,26.076378,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10687407,BV10687407,罗汉山,119.318365,26.126091,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10210905,BV10210905,胪雷,119.380086,25.984504,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10877568,BV10877568,航城,119.491172,25.951756,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2
BV10972430,BV10972430,花海公园,119.350335,26.040098,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10210910,BV10210910,苏洋,119.15963,26.098509,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10687399,BV10687399,茶亭,119.304376,26.069167,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10961087,BV10961087,荆溪厚屿,119.231542,26.109727,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV10877571,BV10877571,莲花,119.571059,25.91924,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2
BV11339271,BV11339271,莲花山,119.557451,25.914093,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2
BV10877576,BV10877576,营前,119.474237,25.956739,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2
BV10210913,BV10210913,董屿·福建师大,119.207305,26.041328,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10208456,BV10208456,葫芦阵,119.343548,26.017116,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10961096,BV10961096,螺洲古镇,119.35138,25.986273,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV10972427,BV10972427,螺洲温泉,119.349023,25.990339,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10210921,BV10210921,西洋,119.296889,26.071661,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10972428,BV10972428,西门,119.290055,26.0847,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10687409,BV10687409,象峰,119.329639,26.143436,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10687404,BV10687404,达道,119.309855,26.056982,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10877572,BV10877572,郑和,119.503077,25.958179,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2
BV10210917,BV10210917,金山,119.262331,26.047449,350100020745;350100020746;900000088653;900000088654,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里);地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),4
BV10604610,BV10604610,金屿,119.199991,26.067353,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10972432,BV10972432,金牛山,119.261723,26.076302,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10210918,BV10210918,金祥,119.271125,26.048518,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV11339274,BV11339274,闽都,119.319328,26.075525,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2
BV10961084,BV10961084,阵坂,119.251769,26.065387,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV10972429,BV10972429,陆庄,119.283452,26.082467,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10961097,BV10961097,霞镜,119.276478,26.025311,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV11339276,BV11339276,首占,119.485139,25.924026,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2
BV10961093,BV10961093,马榕,119.258374,26.055436,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV10972424,BV10972424,鳌峰洲,119.344516,26.054747,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10877580,BV10877580,鹤上,119.538539,25.940531,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2
BV10208454,BV10208454,黄山,119.348788,26.010176,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10210924,BV10210924,鼓山,119.375054,26.053312,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV11623385,BV11623385,龙江,119.372382,25.984442,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
