occurrence_id,line_id,line_name,direction_start,direction_end,sequence,station_id,amap_stop_id,station_name,lon,lat
900000076583_006_a96c54d6,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,6,BV10877580,BV10877580,鹤上,119.538539,25.940531
900000076583_007_dca5184f,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,7,BV10877577,BV10877577,吴航,119.528927,25.951181
900000076583_008_b1cd85f0,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,8,BV10877573,BV10877573,十洋,119.515221,25.958195
900000076583_009_2d979dea,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,9,BV10877572,BV10877572,郑和,119.503077,25.958179
900000076583_010_293f73b3,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,10,BV10877568,BV10877568,航城,119.491172,25.951756
900000076583_011_fa410d04,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,11,BV10877576,BV10877576,营前,119.474237,25.956739
900000076583_012_0452c958,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,12,BV10687392,BV10687392,下洋,119.420776,25.984204
900000076583_013_15e94606,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,13,BV10687393,BV10687393,梁厝,119.415109,25.994261
900000076583_014_215e985a,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,14,BV11667315,BV11667315,樟岚,119.389454,26.006301
900000076583_015_0d51f679,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,15,BV10877575,BV10877575,林浦,119.365098,26.015231
900000076583_016_874dc42f,900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,16,BV11667316,BV11667316,潘墩,119.357766,26.020812
900000076581_001_874dc42f,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,1,BV11667316,BV11667316,潘墩,119.357766,26.020812
900000076581_002_0d51f679,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,2,BV10877575,BV10877575,林浦,119.365098,26.015231
900000076581_003_215e985a,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,3,BV11667315,BV11667315,樟岚,119.389454,26.006301
900000076581_004_15e94606,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,4,BV10687393,BV10687393,梁厝,119.415109,25.994261
900000076581_005_0452c958,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,5,BV10687392,BV10687392,下洋,119.420776,25.984204
900000076581_006_fa410d04,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,6,BV10877576,BV10877576,营前,119.474237,25.956739
900000076581_007_293f73b3,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,7,BV10877568,BV10877568,航城,119.491172,25.951756
900000076581_008_2d979dea,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,8,BV10877572,BV10877572,郑和,119.503077,25.958179
900000076581_009_b1cd85f0,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,9,BV10877573,BV10877573,十洋,119.515221,25.958195
900000076581_010_dca5184f,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,10,BV10877577,BV10877577,吴航,119.528927,25.951181
900000076581_011_a96c54d6,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,11,BV10877580,BV10877580,鹤上,119.538539,25.940531
900000076581_012_82a21ef4,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,12,BV10877570,BV10877570,沙京,119.54656,25.930828
900000076581_013_963b0479,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,13,BV10877571,BV10877571,莲花,119.571059,25.91924
900000076581_014_1aae7c5e,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,14,BV10877578,BV10877578,下吴,119.582616,25.912233
900000076581_015_2eb6dade,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,15,BV10877566,BV10877566,壶井,119.593335,25.905685
900000076581_016_5b0dc334,900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,16,BV10877581,BV10877581,万寿,119.60263,25.899952
900000139164_001_7760d1ec,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,1,BV11339275,BV11339275,文岭,119.695267,25.973998
900000139164_002_c135cefa,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,2,BV11339272,BV11339272,机场,119.67529,25.92792
900000139164_003_526ee247,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,3,BV09198673,BV09198673,滨海中央商务区,119.609675,25.884204
900000139164_004_ec4741c6,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,4,BV11339280,BV11339280,大数据,119.597792,25.891571
900000139164_005_cbee3d46,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,5,BV11339281,BV11339281,滨海西,119.568892,25.907859
900000139164_006_7fc06264,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,6,BV11339271,BV11339271,莲花山,119.557451,25.914093
900000139164_007_098b408a,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,7,BV11339276,BV11339276,首占,119.485139,25.924026
900000139164_008_b76143fb,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,8,BV11339273,BV11339273,祥谦,119.386657,25.930472
900000139164_009_87bda8d8,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,9,BV11506304,BV11506304,帝封江,119.335897,25.988708
900000139164_010_070b9d24,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,10,BV11339278,BV11339278,盖山,119.329926,26.008613
900000139164_011_30a0c067,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,11,BV09434317,BV09434317,三叉街(滨海快线),119.322679,26.035376
900000139164_012_5686b3d8,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,12,BV11339279,BV11339279,南公园,119.319896,26.064099
900000139164_013_1c6a2449,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,13,BV11339274,BV11339274,闽都,119.319328,26.075525
900000139164_014_d3c3e23d,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,14,BV11352891,BV11352891,东门,119.316656,26.087023
900000139164_015_b7319bc8,900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,15,BV10687408,BV10687408,福州火车站,119.318352,26.110549
900000139163_001_b7319bc8,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,1,BV10687408,BV10687408,福州火车站,119.318352,26.110549
900000139163_002_d3c3e23d,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,2,BV11352891,BV11352891,东门,119.316656,26.087023
900000139163_003_1c6a2449,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,3,BV11339274,BV11339274,闽都,119.319328,26.075525
900000139163_004_5686b3d8,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,4,BV11339279,BV11339279,南公园,119.319896,26.064099
900000139163_005_30a0c067,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,5,BV09434317,BV09434317,三叉街(滨海快线),119.322679,26.035376
900000139163_006_070b9d24,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,6,BV11339278,BV11339278,盖山,119.329926,26.008613
900000139163_007_87bda8d8,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,7,BV11506304,BV11506304,帝封江,119.335897,25.988708
900000139163_008_b76143fb,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,8,BV11339273,BV11339273,祥谦,119.386657,25.930472
900000139163_009_098b408a,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,9,BV11339276,BV11339276,首占,119.485139,25.924026
900000139163_010_7fc06264,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,10,BV11339271,BV11339271,莲花山,119.557451,25.914093
900000139163_011_cbee3d46,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,11,BV11339281,BV11339281,滨海西,119.568892,25.907859
900000139163_012_ec4741c6,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,12,BV11339280,BV11339280,大数据,119.597792,25.891571
900000139163_013_526ee247,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,13,BV09198673,BV09198673,滨海中央商务区,119.609675,25.884204
900000139163_014_c135cefa,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,14,BV11339272,BV11339272,机场,119.67529,25.92792
900000139163_015_7760d1ec,900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,15,BV11339275,BV11339275,文岭,119.695267,25.973998
