"YR_MTH","MODE","TTD_PTO_CODE","FRANCHISE_TYPE","RAIL_LINE","PAX","PAX_INDI"
"201307","Railways","HKT","","",5891.459,""
"201307","Fran_Bus","KMB","","",80202.55,""
"201307","PLB","GMB","","",46891.008,""
"201307","PLB","RMB","","",11052.635,""
"201307","Ferries","NWFF","","",1261.675,""
"201307","Ferries","STF","","",1874.469,""
"201307","Ferries","LFS","","",1050.576,""
"201307","TAX","TAX","","",32165.248498,""
"201307","Railways","MTRC","","Local",136620.484,""
"201308","RS","RS","","",7448.618,""
"201308","TAX","TAX","","",32457.984141,""
"201308","Ferries","LFS","","",1082.884,""
"201308","Ferries","STF","","",1875.915,""
"201308","Ferries","NWFF","","",1298.774,""
"201308","PLB","RMB","","",11160.847,""
"201308","PLB","GMB","","",46236.748,""
"201308","Fran_Bus","KMB","","",78967.977,""
"201308","LRB","LRB","","",3860.233,""
"201308","Railways","HKT","","",5803.488,""
"201308","Railways","MTRC","","LRT",14281.095,""
"201308","Railways","MTRC","","Airport",1193.727,""
"201308","Railways","MTRC","","Local",136189.501,""
"201308","Fran_Bus","NLB","","",2036.799,""
"201308","Fran_Bus","LWB","","",2956.798,""
"201308","Fran_Bus","NWFB","","",15146.539,""
"201308","Fran_Bus","CTB","2","",2287.049,""
"201308","Fran_Bus","CTB","1","",17805.978,""
"201309","Fran_Bus","CTB","1","",17237.264,""
"201309","Railways","HKT","","",5888.91,""
"201309","Fran_Bus","NWFB","","",15059.483,""
"201309","Fran_Bus","LWB","","",2745.296,""
"201309","Fran_Bus","NLB","","",2025.183,""
"201309","Railways","MTRC","","Local",131670.736,""
"201309","Railways","MTRC","","Airport",1183.874,""
"201309","Railways","MTRC","","LRT",14692.789,""
"201309","Fran_Bus","KMB","","",78660.553,""
"201309","LRB","LRB","","",4114.697,""
"201309","RS","RS","","",7305.223,""
"201309","TAX","TAX","","",30861.227368,""
"201309","Ferries","LFS","","",1096.384,""
"201309","Ferries","STF","","",1548.697,""
"201309","Ferries","NWFF","","",1140.473,""
