"YR_MTH","MODE","TTD_PTO_CODE","RAIL_LINE","AVG_DAILY_PAX","AVG_DAILY_PAX_INDI"
"201307","RS","RS","",236.431774193548,""
"201307","TAX","TAX","",1037.58866122581,""
"201307","Ferries","LFS","",33.8895483870968,""
"201307","Ferries","STF","",60.4667419354839,""
"201307","Ferries","NWFF","",40.6991935483871,""
"201307","Railways","HKT","",190.047064516129,""
"201307","Railways","MTRC","LRT",478.085322580645,""
"201308","Railways","MTRC","Airport",38.5073225806452,""
"201308","LRB","LRB","",124.52364516129,""
"201308","Railways","HKT","",187.209290322581,""
"201308","PLB","RMB","",360.027322580645,""
"201308","Ferries","NWFF","",41.895935483871,""
"201308","Ferries","STF","",60.5133870967742,""
"201308","Ferries","LFS","",34.9317419354839,""
"201308","TAX","TAX","",1047.03174648387,""
"201308","Railways","MTRC","Local",4393.20970967742,""
"201308","Fran_Bus","NLB","",65.7031935483871,""
"201308","Fran_Bus","LWB","",95.3805806451613,""
"201308","Fran_Bus","NWFB","",488.598032258065,""
"201308","Fran_Bus","CTB","",648.162161290323,""
"201308","Fran_Bus","KMB","",2547.35409677419,""
"201308","PLB","GMB","",1491.508,""
"201308","RS","RS","",240.278,""
"201308","Railways","MTRC","LRT",460.680483870968,""
"201309","Ferries","LFS","",36.5461333333333,""
"201309","TAX","TAX","",1028.70757893333,""
"201309","RS","RS","",243.507433333333,""
"201309","LRB","LRB","",137.156566666667,""
"201309","Fran_Bus","KMB","",2622.01843333333,""
"201309","Fran_Bus","CTB","",644.875066666667,""
"201309","Fran_Bus","NWFB","",501.982766666667,""
"201309","Fran_Bus","LWB","",91.5098666666667,""
"201309","Fran_Bus","NLB","",67.5061,""
"201309","Railways","MTRC","Local",4389.02453333333,""
"201309","Railways","MTRC","Airport",39.4624666666667,""
"201309","Railways","MTRC","LRT",489.759633333333,""
"201309","Railways","HKT","",196.297,""
"201309","PLB","GMB","",1532.65716666667,""
"201309","PLB","RMB","",348.816,""
"201309","Ferries","NWFF","",38.0157666666667,""
"201309","Ferries","STF","",51.6232333333333,""
"201310","TAX","TAX","",1011.66010496774,""
"201310","RS","RS","",243.338935483871,""
"201310","Ferries","STF","",61.8982903225806,""
"201310","Ferries","NWFF","",42.6401612903226,""
"201310","PLB","RMB","",349.407258064516,""
"201310","PLB","GMB","",1541.41174193548,""
"201310","Fran_Bus","KMB","",2682.05932258065,""
"201310","LRB","LRB","",138.942096774194,""
"201310","Railways","HKT","",204.850096774194,""
"201310","Railways","MTRC","LRT",484.6,""
"201310","Railways","MTRC","Airport",40.2456129032258,""
"201310","Railways","MTRC","Local",4457.28916129032,""
"201310","Fran_Bus","NLB","",68.1256451612903,""
"201310","Fran_Bus","LWB","",94.6699677419355,""
"201310","Fran_Bus","NWFB","",518.547387096774,""
"201310","Fran_Bus","CTB","",666.538322580645,""
"201310","Ferries","LFS","",40.4762903225806,""
"201311","Fran_Bus","KMB","",2707.5417,""
"201311","Railways","HKT","",208.237933333333,""
"201311","PLB","GMB","",1544.15596666667,""
"201311","PLB","RMB","",357.5934,""
"201311","Ferries","NWFF","",39.9224,""
"201311","Ferries","STF","",61.4257333333333,""
"201311","Ferries","LFS","",39.0957666666667,""
"201311","TAX","TAX","",1015.84927903333,""
"201311","RS","RS","",244.4002,""
"201311","LRB","LRB","",139.771533333333,""
"201311","Fran_Bus","CTB","",665.980666666667,""
"201311","Fran_Bus","NWFB","",520.432566666667,""
"201311","Fran_Bus","LWB","",94.5087333333333,""
"201311","Fran_Bus","NLB","",66.0195666666667,""
"201311","Railways","MTRC","Local",4569.59943333333,""
"201311","Railways","MTRC","LRT",484.8502,""
"201311","Railways","MTRC","Airport",40.0356333333333,""
"201312","RS","RS","",233.908258064516,""
"201312","TAX","TAX","",967.571582935484,""
"201312","Ferries","LFS","",37.3692580645161,""
"201312","Ferries","STF","",64.7257741935484,""
"201312","Ferries","NWFF","",38.6986451612903,""
"201312","PLB","RMB","",344.078290322581,""
"201312","PLB","GMB","",1500.74338709677,""
"201312","LRB","LRB","",135.550709677419,""
