"YR_MTH","VEHICLE_CLASS_CODE","GOODS_VEHICLE_TYPE_CODE","GOV_VEHICLE_TYPE_CODE","MOTOR_CYCLE_TYPE_CODE","TAXIS_TYPE_CODE","TTD_PTO_CODE","BUS_TYPE_CODE","FRANCHISED_TYPE","FIRST_REG","TOTAL_REG","TOTAL_LIC"
"201304","12","","","","","NLB","DD","",0,0,0
"201304","5","3","","","","","","",21,4615,4474
"201304","6","","","","","","","",15,1644,1489
"201304","5","1","","","","","","",344,77197,72572
"201304","2","","","MTRI","","","","",0,56,38
"201304","11","","","","","OTHERS","DD","",0,99,98
"201304","12","","","","","NWFB","SD","",0,36,36
"201304","12","","","","","CTB","SD","1",0,68,63
"201304","10","","","","","","","",13,2548,2532
"201304","9","","","","","RMB","","",2,1263,1262
"201304","2","","","SOLO","","","","",387,58041,40244
"201304","2","","","COMBO","","","","",0,46,30
"201304","12","","","","","KMB","DD","",1,3611,3605
"201304","12","","","","","LWB","DD","",1,170,168
"201304","7","","OTHERS","","","","","",59,5369,5369
"201304","5","2","","","","","","",122,39822,37058
"201304","11","","","","","LRB","DD","",0,110,109
"201304","12","","","","","CTB","SD","2",0,19,17
"201304","1","","","","","","","",3043,502188,462241
"201304","3","","","","NT","TAX","","",7,2838,2830
"201304","7","","MC","","","","","",0,886,886
"201304","12","","","","","CTB","DD","2",0,158,152
"201304","4","","","","","","SD","",8,517,506
"201304","12","","","","","NLB","SD","",0,108,108
"201304","11","","","","","LRB","SD","",0,8,8
"201304","11","","","","","OTHERS","SD","",56,6838,6758
"201304","9","","","","","GMB","","",2,3087,3086
"201305","9","","","","","RMB","","",2,1263,1263
"201305","4","","","","","","DD","",0,58,58
"201305","2","","","COMBO","","","","",0,46,33
"201305","11","","","","","OTHERS","DD","",0,99,98
"201305","10","","","","","","","",17,2564,2548
"201305","7","","MC","","","","","",0,875,875
"201305","12","","","","","KMB","DD","",12,3622,3617
"201305","12","","","","","CTB","SD","1",0,68,63
"201305","2","","","SOLO","","","","",419,58332,40461
"201305","5","3","","","","","","",33,4638,4509
"201305","5","1","","","","","","",407,77346,72652
"201305","12","","","","","NWFB","SD","",0,36,35
"201305","12","","","","","NLB","SD","",0,108,108
"201305","9","","","","","GMB","","",3,3087,3078
"201305","12","","","","","NWFB","DD","",3,691,689
"201305","1","","","","","","","",3546,503912,463627
"201305","12","","","","","CTB","DD","2",1,158,153
"201305","12","","","","","CTB","SD","2",0,18,17
"201305","2","","","MTRI","","","","",2,58,40
"201305","7","","OTHERS","","","","","",69,5380,5380
"201305","12","","","","","LWB","DD","",0,170,168
"201305","3","","","","Urban","TAX","","",46,15250,15238
"201305","12","","","","","KMB","SD","",0,168,167
"201305","11","","","","","LRB","DD","",0,110,110
"201305","6","","","","","","","",10,1649,1484
"201305","3","","","","Lantau","TAX","","",0,50,50
"201305","11","","","","","LRB","SD","",0,8,8
"201305","5","2","","","","","","",201,39870,37147
"201305","12","","","","","NLB","DD","",0,0,0
"201305","12","","","","","LWB","SD","",0,0,0
"201305","3","","","","NT","TAX","","",6,2838,2829
"201305","12","","","","","CTB","DD","1",6,713,708
"201305","4","","","","","","SD","",1,515,502
"201305","11","","","","","OTHERS","SD","",38,6840,6758
"201306","9","","","","","RMB","","",3,1262,1262
"201306","2","","","COMBO","","","","",0,46,34
"201306","4","","","","","","DD","",0,58,58
"201306","12","","","","","CTB","SD","2",0,17,17
"201306","12","","","","","CTB","DD","2",7,162,153
"201306","12","","","","","NLB","SD","",0,108,108
"201306","12","","","","","KMB","DD","",16,3615,3610
"201306","2","","","MTRI","","","","",5,63,45
"201306","12","","","","","LWB","DD","",0,170,167
"201306","4","","","","","","SD","",5,516,506
"201306","11","","","","","OTHERS","DD","",0,99,96
"201306","2","","","SOLO","","","","",338,58545,40529
"201306","12","","","","","KMB","SD","",0,167,167
"201306","12","","","","","NWFB","SD","",0,36,35
"201306","3","","","","Urban","TAX","","",56,15250,15235
"201306","6","","","","","","","",15,1653,1496
"201306","10","","","","","","","",16,2579,2563
"201306","7","","OTHERS","","","","","",69,5405,5405
"201306","7","","MC","","","","","",0,867,867
"201306","11","","","","","LRB","SD","",0,8,8
"201306","12","","","","","CTB","SD","1",0,66,59
"201306","12","","","","","LWB","SD","",0,0,0
"201306","11","","","","","LRB","DD","",0,110,110
"201306","3","","","","NT","TAX","","",13,2838,2829
"201306","12","","","","","CTB","DD","1",6,716,713
"201306","9","","","","","GMB","","",9,3088,3086
"201306","5","1","","","","","","",498,77514,72694
"201306","12","","","","","NWFB","DD","",0,691,687
"201306","5","3","","","","","","",74,4689,4536
"201306","11","","","","","OTHERS","SD","",58,6840,6771
"201306","5","2","","","","","","",256,39943,37152
"201306","12","","","","","NLB","DD","",0,0,0
"201306","1","","","","","","","",3546,505590,464595
"201306","3","","","","Lantau","TAX","","",0,50,50
"201307","9","","","","","RMB","","",1,1257,1256
"201307","7","","MC","","","","","",0,859,859
"201307","12","","","","","CTB","SD","1",0,66,59
"201307","5","1","","","","","","",444,77712,72899
"201307","3","","","","NT","TAX","","",15,2838,2830
"201307","4","","","","","","DD","",0,58,58
"201307","12","","","","","NWFB","DD","",0,691,684
"201307","11","","","","","LRB","DD","",0,110,110
"201307","12","","","","","NLB","SD","",0,108,107
"201307","12","","","","","LWB","SD","",0,0,0
"201307","5","3","","","","","","",28,4710,4571
"201307","11","","","","","OTHERS","DD","",0,99,92
"201307","1","","","","","","","",3702,507263,466443
"201307","6","","","","","","","",13,1661,1503
"201307","2","","","COMBO","","","","",0,46,35
"201307","12","","","","","CTB","DD","1",6,722,715
"201307","12","","","","","KMB","SD","",0,167,167
"201307","12","","","","","CTB","DD","2",4,166,155
"201307","12","","","","","NLB","DD","",0,0,0
"201307","5","2","","","","","","",136,39970,37168
"201307","7","","OTHERS","","","","","",67,5426,5426
"201307","12","","","","","KMB","DD","",26,3637,3613
"201307","12","","","","","NWFB","SD","",0,36,35
"201307","10","","","","","","","",39,2618,2596
"201307","12","","","","","CTB","SD","2",0,17,17
"201307","4","","","","","","SD","",1,516,506
"201307","2","","","SOLO","","","","",393,58830,40744
"201307","2","","","MTRI","","","","",1,64,46
"201307","3","","","","Lantau","TAX","","",0,50,50
"201307","11","","","","","LRB","SD","",0,8,8
"201307","11","","","","","OTHERS","SD","",25,6834,6746
"201307","12","","","","","LWB","DD","",0,170,168
"201307","9","","","","","GMB","","",0,3093,3092
"201307","3","","","","Urban","TAX","","",69,15250,15238
"201308","12","","","","","NLB","SD","",1,108,107
"201308","11","","","","","LRB","DD","",6,116,116
"201308","7","","OTHERS","","","","","",70,5447,5447
"201308","12","","","","","CTB","SD","2",0,17,16
"201308","11","","","","","OTHERS","DD","",0,99,95
"201308","12","","","","","KMB","SD","",4,171,171
"201308","9","","","","","RMB","","",0,1251,1250
"201308","4","","","","","","SD","",3,518,507
"201308","12","","","","","NWFB","SD","",0,36,36
"201308","10","","","","","","","",115,2733,2701
"201308","1","","","","","","","",3691,509056,467718
"201308","12","","","","","CTB","SD","1",0,63,57
"201308","11","","","","","OTHERS","SD","",48,6837,6755
"201308","11","","","","","LRB","SD","",0,8,8
"201308","5","3","","","","","","",32,4737,4576
"201308","7","","MC","","","","","",0,856,856
"201308","12","","","","","CTB","DD","2",9,167,154
"201308","2","","","SOLO","","","","",364,59058,40827
"201308","3","","","","Lantau","TAX","","",0,50,50
"201308","9","","","","","GMB","","",0,3099,3098
"201308","3","","","","Urban","TAX","","",75,15250,15227
"201308","2","","","MTRI","","","","",3,67,49
"201308","12","","","","","LWB","DD","",0,170,168
"201308","12","","","","","NWFB","DD","",0,688,681
"201308","5","2","","","","","","",185,40054,37214
"201308","12","","","","","KMB","DD","",24,3658,3608
"201308","3","","","","NT","TAX","","",16,2838,2829
"201308","12","","","","","NLB","DD","",0,0,0
"201308","2","","","COMBO","","","","",1,47,36
"201308","6","","","","","","","",12,1665,1505
"201308","4","","","","","","DD","",0,58,58
"201308","12","","","","","CTB","DD","1",22,743,720
"201308","5","1","","","","","","",451,77967,73045
"201308","12","","","","","LWB","SD","",0,0,0
"201309","3","","","","Lantau","TAX","","",0,50,50
"201309","12","","","","","NLB","SD","",1,108,108
"201309","7","","MC","","","","","",0,854,854
"201309","2","","","MTRI","","","","",2,69,50
"201309","3","","","","Urban","TAX","","",65,15250,15224
"201309","12","","","","","LWB","DD","",0,170,169
"201309","3","","","","NT","TAX","","",23,2838,2826
"201309","5","3","","","","","","",29,4765,4602
"201309","12","","","","","CTB","DD","2",6,172,159
"201309","1","","","","","","","",3938,511079,469146
"201309","7","","OTHERS","","","","","",50,5453,5453
"201309","11","","","","","LRB","DD","",0,116,116
"201309","11","","","","","LRB","SD","",0,8,8
"201309","12","","","","","CTB","SD","1",0,62,56
"201309","12","","","","","NWFB","SD","",0,36,36
