candidate_asc,candidate_source,candidate_label,candidate_status,residual_mean,residual_median,residual_p10,residual_p90,residual_mean_absolute,residual_median_absolute,residual_rmse,residual_abs_le_1_util_share,residual_abs_le_3_util_share,asc_equivalent_percentile_rank
-30.0,distribution_anchor_floor_p10,,diagnostic_only,-17.249818768666525,-20.507519500000004,-27.0448345,-0.33721349999999184,18.83777319086252,20.59318075,20.295337693179896,0.012122512471168804,0.03843265568846216,0.09794560961218687
-12.0,provisional_minus12_minus9_minus6,more_negative_asc,provisional_technical_candidate,0.7501812313334765,-2.5075195000000052,-9.0448345,17.66278650000001,7.8892632667355045,6.452674000000002,10.719480230319654,0.08035187469827818,0.238293193155608,0.3934184412379982
-9.0,provisional_minus12_minus9_minus6;distribution_anchor_round_p50,center_asc,provisional_technical_candidate,3.7501812313334772,0.49248049999999477,-6.0448344999999994,20.66278650000001,7.629332738735718,5.062431249999994,11.331740545750893,0.10094941801212251,0.2999249047900016,0.5256128305530225
-6.0,provisional_minus12_minus9_minus6,less_negative_asc,provisional_technical_candidate,6.750181231333477,3.4924804999999948,-3.0448344999999994,23.66278650000001,8.281723064353914,4.201145,12.645530087118358,0.09923295606930214,0.3590355629458778,0.6933433460279997
-3.0,historical_grid_minus3_to_plus8,,diagnostic_only,9.750181231333478,6.492480499999995,-0.044834499999999444,26.66278650000001,9.942567274513221,6.492480499999995,14.471023411363015,0.14732071018612883,0.3066566539720002,0.8846483934989003
-2.0,historical_grid_minus3_to_plus8;distribution_anchor_ceil_p90,,diagnostic_only,10.750181231333476,7.492480499999995,0.9551655000000006,27.66278650000001,10.80377561032291,7.492480499999995,15.162812438162105,0.1071984122727029,0.2610094941801212,0.9538432655688462
-1.0,historical_grid_minus3_to_plus8,,diagnostic_only,11.750181231333478,8.492480499999996,1.9551655000000006,28.66278650000001,11.755240182548409,8.492480499999996,15.887455538806407,0.046156734431153784,0.1934774446172826,0.9918468057716033
0.0,historical_grid_minus3_to_plus8,,diagnostic_only,12.750181231333478,9.492480499999996,2.9551655000000006,29.66278650000001,12.750181231333478,9.492480499999996,16.640661223647857,0.008153194228396717,0.1153516065010996,1.0
1.0,historical_grid_minus3_to_plus8,,diagnostic_only,13.750181231333478,10.492480499999996,3.9551655000000006,30.66278650000001,13.750181231333478,10.492480499999996,17.418724649723476,0.0,0.046156734431153784,1.0
2.0,historical_grid_minus3_to_plus8,,diagnostic_only,14.750181231333478,11.492480499999996,4.9551655000000006,31.66278650000001,14.750181231333478,11.492480499999996,18.218461265583084,0.0,0.008153194228396717,1.0
3.0,historical_grid_minus3_to_plus8,,diagnostic_only,15.750181231333478,12.492480499999996,5.9551655000000006,32.66278650000001,15.750181231333478,12.492480499999996,19.037139841589077,0.0,0.0,1.0
4.0,historical_grid_minus3_to_plus8,,diagnostic_only,16.750181231333478,13.492480499999996,6.9551655000000006,33.66278650000001,16.750181231333478,13.492480499999996,19.87241947551644,0.0,0.0,1.0
5.0,historical_grid_minus3_to_plus8,,diagnostic_only,17.750181231333475,14.492480499999996,7.9551655000000006,34.66278650000001,17.750181231333475,14.492480499999996,20.722292785151744,0.0,0.0,1.0
6.0,historical_grid_minus3_to_plus8,,diagnostic_only,18.750181231333478,15.492480499999996,8.9551655,35.66278650000001,18.750181231333478,15.492480499999996,21.58503603740839,0.0,0.0,1.0
7.0,historical_grid_minus3_to_plus8,,diagnostic_only,19.750181231333475,16.492480499999996,9.9551655,36.66278650000001,19.750181231333475,16.492480499999996,22.45916612875211,0.0,0.0,1.0
8.0,historical_grid_minus3_to_plus8,,diagnostic_only,20.750181231333478,17.492480499999996,10.9551655,37.66278650000001,20.750181231333478,17.492480499999996,23.343403900493023,0.0,0.0,1.0
