candidate_id,household_id,passenger_person_id,passenger_trip_index,passenger_original_mode,driver_person_id,driver_trip_index,driver_original_mode,driver_vehicle_id,driver_requires_car_switch,screen_type,departure_delta_s,origin_gap_m,destination_gap_m,detour_added_distance_m,detour_ratio,passenger_departure_time_s,driver_departure_time_s,passenger_pickup_link,passenger_dropoff_link,driver_origin_link,driver_destination_link
joint:hk_hh_0825637:hk_person_01895064:1:1,hk_hh_0825637,hk_person_01895064,1,walk,hk_person_01895069,2,car,hk_vehicle_0157403,false,detour,218.0,418.7661045034326,6978.626363345337,0.0,1.0,66151.0,66369.0,road_104524_0_f,road_103737_0_f,road_103737_0_f,road_1309_0_f
joint:hk_hh_0825637:hk_person_01895067:0:1,hk_hh_0825637,hk_person_01895067,0,car_passenger,hk_person_01895069,0,car,hk_vehicle_0157403,false,detour,2181.0,0.0,13493.641542742656,156.44636535565587,1.0105251426150266,25748.0,27929.0,road_103737_0_f,road_102478_0_f,road_103737_0_f,road_63001_0_r
joint:hk_hh_0825637:hk_person_01895068:1:1,hk_hh_0825637,hk_person_01895068,1,walk,hk_person_01895069,2,car,hk_vehicle_0157403,false,detour,2625.0,254.02865870608494,6978.626363345337,0.0,1.0,63744.0,66369.0,road_128571_0_r,road_103737_0_f,road_103737_0_f,road_1309_0_f
joint:hk_hh_0825804:hk_person_01895629:0:1,hk_hh_0825804,hk_person_01895629,0,pt,hk_person_01895627,0,car,hk_vehicle_0157466,false,detour,121.0,0.0,2773.2491904666545,255.06791850334048,1.0375092867639564,43180.0,43301.0,road_268993_0_f,road_1295_0_f,road_268993_0_f,road_6225_0_f
joint:hk_hh_0826559:hk_person_01898094:0:1,hk_hh_0826559,hk_person_01898094,0,pt,hk_person_01898092,0,pt,hk_vehicle_0157710,true,detour,1380.0,0.0,26484.585749491725,710.4886870673363,1.0267790466092008,25354.0,26734.0,road_102239_0_f,road_102207_0_f,road_102239_0_f,road_273545_0_f
joint:hk_hh_0826777:hk_person_01898840:0:1,hk_hh_0826777,hk_person_01898840,0,pt,hk_person_01898839,0,car,hk_vehicle_0157794,false,detour,783.0,0.0,22376.540769032723,7764.667698682839,1.4126179119415398,31742.0,30959.0,road_103989_0_f,road_4744_0_f,road_103989_0_f,road_60910_0_f
joint:hk_hh_0826777:hk_person_01898841:0:1,hk_hh_0826777,hk_person_01898841,0,pt,hk_person_01898839,0,car,hk_vehicle_0157794,false,detour,1217.0,0.0,14411.324059513967,184.44869206428484,1.0098016859360026,32176.0,30959.0,road_103989_0_f,road_284326_0_r,road_103989_0_f,road_60910_0_f
joint:hk_hh_0826777:hk_person_01898842:0:1,hk_hh_0826777,hk_person_01898842,0,pt,hk_person_01898839,0,car,hk_vehicle_0157794,false,detour,803.0,0.0,22333.217444896534,7713.702599667726,1.4099096038009253,31762.0,30959.0,road_103989_0_f,road_4744_0_f,road_103989_0_f,road_60910_0_f
joint:hk_hh_0827716:hk_person_01901816:0:1,hk_hh_0827716,hk_person_01901816,0,car_passenger,hk_person_01901811,0,car,hk_vehicle_0158103,false,direct,0.0,0.0,0.0,0.0,1.0,25825.0,25825.0,road_102274_0_f,road_115922_0_f,road_102274_0_f,road_115922_0_f
joint:hk_hh_0827716:hk_person_01901816:0:2,hk_hh_0827716,hk_person_01901816,0,car_passenger,hk_person_01901811,1,car,hk_vehicle_0158103,false,direct,600.0,429.35213158896516,429.35213158896516,0.0,1.0,25825.0,26425.0,road_102274_0_f,road_115922_0_f,road_115922_0_f,road_102274_0_f
joint:hk_hh_0827716:hk_person_01901816:1:1,hk_hh_0827716,hk_person_01901816,1,car_passenger,hk_person_01901811,3,car,hk_vehicle_0158103,false,direct,0.0,0.0,0.0,0.0,1.0,54403.0,54403.0,road_115922_0_f,road_102274_0_f,road_115922_0_f,road_102274_0_f
joint:hk_hh_0827716:hk_person_01901816:1:2,hk_hh_0827716,hk_person_01901816,1,car_passenger,hk_person_01901811,2,car,hk_vehicle_0158103,false,direct,1800.0,429.35213158896516,429.35213158896516,0.0,1.0,54403.0,52603.0,road_115922_0_f,road_102274_0_f,road_102274_0_f,road_115922_0_f
joint:hk_hh_0827813:hk_person_01902087:0:1,hk_hh_0827813,hk_person_01902087,0,pt,hk_person_01902086,0,car,hk_vehicle_0158134,false,detour,195.0,0.0,8109.2538484395545,2340.705206530796,1.226684377176091,28542.0,28737.0,road_102210_0_f,road_106544_0_f,road_102210_0_f,road_284432_0_f
joint:hk_hh_0828007:hk_person_01902636:0:1,hk_hh_0828007,hk_person_01902636,0,walk,hk_person_01902635,0,car,hk_vehicle_0158190,false,detour,1067.0,0.0,3214.3118470272907,16.489329727008226,1.0039237688239748,27028.0,28095.0,road_102207_0_f,road_102108_0_f,road_102207_0_f,road_106510_0_f
joint:hk_hh_0828007:hk_person_01902637:0:1,hk_hh_0828007,hk_person_01902637,0,walk,hk_person_01902635,0,car,hk_vehicle_0158190,false,detour,1610.0,0.0,1868.1951930109003,908.9106970550038,1.216282621302684,26485.0,28095.0,road_102207_0_f,road_107546_0_f,road_102207_0_f,road_106510_0_f
joint:hk_hh_0828923:hk_person_01905282:0:1,hk_hh_0828923,hk_person_01905282,0,car_passenger,hk_person_01905281,0,pt,hk_vehicle_0158451,true,detour,2156.0,0.0,8685.024092189893,158.86807440966732,1.0137661613131121,26806.0,28962.0,road_102274_0_f,road_2783_0_f,road_102274_0_f,road_64026_0_r
joint:hk_hh_0829177:hk_person_01906009:2:1,hk_hh_0829177,hk_person_01906009,2,pt,hk_person_01906007,2,car,hk_vehicle_0158525,false,detour,1782.0,0.0,780.5484292811335,1523.2737515471167,1.3894900008501732,63650.0,65432.0,road_102179_0_f,road_4795_0_r,road_102179_0_f,road_5458_0_f
joint:hk_hh_0829796:hk_person_01907826:0:1,hk_hh_0829796,hk_person_01907826,0,pt,hk_person_01907827,0,car,hk_vehicle_0158697,false,detour,1332.0,0.0,7231.911117234833,2516.096376602146,1.3866679815955791,27638.0,28970.0,road_102210_0_f,road_104215_0_f,road_102210_0_f,road_4858_0_f
joint:hk_hh_0829857:hk_person_01907994:0:1,hk_hh_0829857,hk_person_01907994,0,pt,hk_person_01907992,0,car,hk_vehicle_0158718,false,detour,121.0,0.0,867.323072830993,254.37121568074144,1.0521144241966285,26736.0,26615.0,road_102122_0_f,road_106694_0_r,road_102122_0_f,road_7682_0_r
joint:hk_hh_0830694:hk_person_01910474:0:1,hk_hh_0830694,hk_person_01910474,0,pt,hk_person_01910473,0,car,hk_vehicle_0159009,false,detour,74.0,0.0,3575.8326785188683,1834.6434130049402,1.4816304585484195,32545.0,32619.0,road_102122_0_f,road_104787_0_f,road_102122_0_f,road_261464_0_f
joint:hk_hh_0832015:hk_person_01914299:0:1,hk_hh_0832015,hk_person_01914299,0,pt,hk_person_01914300,0,car,hk_vehicle_0159413,false,detour,1936.0,0.0,6463.243950731573,2376.4484776441986,1.2092840179653532,33340.0,31404.0,road_104465_0_f,road_2862_0_f,road_104465_0_f,road_2207_0_f
