mode,stop_id,source_ids,name,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,line_ids,coord_source
bus,amap_stop_01732,BV11678926,台屿地铁站(公交站),119.281819,26.005628,119.2770443694668,26.008703303368726,727901.6758181844,2878634.204049941,350100010087;350100010088;350100010211;350100010212;350100010299;350100010351;350100010356;350100010357;350100010429;350100010430;350100010690;350100010691;900000055347;900000055360;900000173281;900000173282;900000175764;900000175765;900000175768;900000175769,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01733,BV11678927,东岭地铁站(公交站),119.277819,26.011418,119.27304823503592,26.01450155974833,727490.4028119057,2879269.668495356,350100010077;350100010078;350100010211;350100010212;350100010299;350100010351;350100010356;350100010357;350100010358;350100010359;350100010429;350100010430;350100010761;350100010762;900000037276;900000037277;900000055347;900000055360;900000175768;900000175769;900000182671;900000182672,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01734,BV11678940,苏宁物流(公交站),119.205127,26.125261,119.20031930451415,26.12839965508147,719996.2258590002,2891764.30715312,900000048928;900000062157;900000069611;900000160849;900000193360;900000227853,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01735,BV11678941,金洲南路金山大道口(公交站),119.262257,26.049796,119.25749460425637,26.05291722502328,725859.6253844496,2883499.009143944,350100010071;350100010072;350100010228;350100010230;350100010439;350100010440;900000118768;900000118769,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01736,BV11678942,金洲南路金山地铁站(公交站),119.26249,26.046341,119.25772776227984,26.049459785224148,725889.5928582724,2883116.336949052,350100010278;350100010279;900000118769,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01737,BV11678943,荆溪厚屿地铁站(公交站),119.23293,26.108571,119.22815822632523,26.111728880429496,722812.1656371187,2889964.642361848,350100010053;350100010054;350100010059;350100010060;900000042976;900000043495;900000048928;900000048929;900000069610;900000069611;900000144210;900000144211;900000146905;900000146906;900000160848;900000160849;900000193359;900000193360;900000227849;900000227853,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01738,BV11679025,霞镜新城(公交站),119.280992,26.030785,119.27621642268234,26.033878341411206,727770.1419209088,2881422.106489074,900000029241;900000037276,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01739,BV11679451,江坂(公交站),119.184772,26.13383,119.17992533565508,26.136940039882816,717940.6859904455,2892676.1880740626,900000062157;900000160849;900000193360;900000227853,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01740,BV11679452,西尤溪洲路南(公交站),119.292545,26.03747,119.28775397454277,26.04055303994672,728912.0596705303,2882181.854781801,350100010371;350100010373;350100010433;350100010434,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01741,BV11679453,上渡燎原路东(公交站),119.289854,26.039744,119.28506663743892,26.04283236242472,728638.6528885373,2882429.6862735376,350100010371;350100010373;350100010433;350100010434;900000242114;900000242133,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01742,BV11679697,融信上江城(公交站),119.464378,25.965101,119.459556483718,25.96806382815493,746260.1510240871,2874462.486500601,900000031551,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01743,BV11679698,邹厝里(公交站),119.471272,25.965816,119.4664727767785,25.96879719317072,746951.369100867,2874556.796234193,900000031551;900000031555,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01744,BV11679699,营前中心小学(公交站),119.468224,25.964912,119.46341479258189,25.96788452493961,746646.981538915,2874449.8927923194,900000031551;900000031555,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01745,BV11682148,祥坂街(公交站),119.287037,26.060062,119.282251909651,26.063167801603832,728317.4861706125,2884677.896774772,900000028090;900000028094,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01746,BV11683580,得贵路(公交站),119.316225,26.084242,119.31138993340606,26.087316594928787,731185.966607766,2887404.981549095,350100010320;350100010321;900000106362;900000106363,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01747,BV11683876,市第四医院(公交站),119.290063,26.02414,119.28527651479746,26.027217500538725,728689.9642309286,2880699.94705686,350100010026;350100010357;350100010359;350100010495;900000099354;900000166947,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01748,BV11683878,百花新苑(公交站),119.278879,26.026659,119.2741060105265,26.029751828631987,727566.862736535,2880961.212706532,900000128846;900000128847;900000166947;900000166948,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01749,BV11683880,海峡奥体中心(南门)(公交站),119.284427,26.014808,119.27964859769097,26.017886478030217,728144.6449722331,2879656.2321990104,900000166947;900000166948,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01750,BV11684639,闽侯大桥南桥头(公交站),119.112143,26.138195,119.10717495420155,26.14119768002246,710657.6762175898,2893027.9408296025,350100010396;350100010399;350100010628;350100010629;900000088960;900000088961;900000238836;900000238837,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01751,BV11684641,苏洋村(公交站),119.154021,26.101526,119.14911340162335,26.10455804154893,714918.6042306724,2889037.16623566,350100010396;350100010399;350100010628;350100010629;900000160846;900000160847;900000195944;900000195945;900000242915;900000242916,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01752,BV11686518,凤冈路谢宅路口(公交站),119.25918,26.036463,119.25441971488996,26.03957649673025,725577.4391581196,2882015.5661317115,900000175768;900000175769,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01753,BV11693141,斗池路西(公交站),119.285965,26.06794,119.2811807017697,26.071052446067803,728194.9948121083,2885549.6306322627,350100010376;350100010379;350100010504;350100010505;900000126889,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
